Time	1PDEAAT Prediction (degC)	1PIN1AT Prediction
2009:361:23:30:10.251	 25.49000000	 11.52000000
2009:361:23:30:43.051	 25.42892200	 11.52336509
2009:361:23:31:15.851	 25.36938307	 11.52657260
2009:361:23:31:48.651	 25.31134294	 11.52962675
2009:361:23:32:21.451	 25.25476238	 11.53253167
2009:361:23:32:54.251	 25.19960319	 11.53529136
2009:361:23:33:27.051	 25.14582815	 11.53790973
2009:361:23:33:59.851	 25.09340103	 11.54039059
2009:361:23:34:32.651	 25.07693452	 11.54116122
2009:361:23:35:05.451	 25.03795555	 11.54293465
2009:361:23:35:38.251	 24.98821915	 11.54514127
2009:361:23:36:11.051	 24.93975226	 11.54721870
2009:361:23:36:43.851	 24.89256011	 11.54916652
2009:361:23:37:16.651	 24.84654163	 11.55099511
2009:361:23:37:49.451	 24.80166611	 11.55270771
2009:361:23:38:22.251	 24.75790366	 11.55430744
2009:361:23:38:55.051	 24.73423878	 11.55514976
2009:361:23:39:27.851	 24.71162800	 11.55591974
2009:361:23:40:00.651	 24.67008711	 11.55729426
2009:361:23:40:33.451	 24.62957221	 11.55856506
2009:361:23:41:06.251	 24.59005647	 11.55973494
2009:361:23:41:39.051	 24.55151374	 11.56080667
2009:361:23:42:11.851	 24.51396000	 11.56177872
2009:361:23:42:44.651	 24.47735732	 11.56265504
2009:361:23:43:17.451	 24.44934952	 11.56328267
2009:361:23:43:50.251	 24.43865554	 11.56350291
2009:361:23:44:23.051	 24.40388724	 11.56419437
2009:361:23:44:55.851	 24.36996632	 11.56480084
2009:361:23:45:28.651	 24.33687064	 11.56532465
2009:361:23:46:01.451	 24.30457863	 11.56576806
2009:361:23:46:34.251	 24.27306929	 11.56613327
2009:361:23:47:07.051	 24.24232216	 11.56642243
2009:361:23:47:39.851	 24.21231731	 11.56663762
2009:361:23:48:12.651	 24.20981022	 11.56665054
2009:361:23:48:45.451	 24.18063917	 11.56678212
2009:361:23:49:18.251	 24.15216806	 11.56684417
2009:361:23:49:51.051	 24.12437863	 11.56683862
2009:361:23:50:23.851	 24.09725309	 11.56676732
2009:361:23:50:56.651	 24.07077410	 11.56663210
2009:361:23:51:29.451	 24.04492480	 11.56643472
2009:361:23:52:02.251	 24.01968875	 11.56617691
2009:361:23:52:35.051	 24.01357856	 11.56610960
2009:361:23:53:07.851	 23.99295799	 11.56583162
2009:361:23:53:40.651	 23.96895264	 11.56545216
2009:361:23:54:13.451	 23.94554947	 11.56501368
2009:361:23:54:46.251	 23.92269480	 11.56452156
2009:361:23:55:19.051	 23.90037434	 11.56397728
2009:361:23:55:51.851	 23.87857416	 11.56338231
2009:361:23:56:24.651	 23.85728071	 11.56273807
2009:361:23:56:57.451	 23.84727609	 11.56241974
2009:361:23:57:30.251	 23.83472340	 11.56198474
2009:361:23:58:03.051	 23.81444151	 11.56124188
2009:361:23:58:35.851	 23.79462685	 11.56045389
2009:361:23:59:08.651	 23.77526722	 11.55962205
2009:361:23:59:41.451	 23.75636531	 11.55874619
2009:362:00:00:14.251	 23.73791325	 11.55782718
2009:362:00:00:47.051	 23.71987999	 11.55686811
2009:362:00:01:19.851	 23.70733685	 11.55616949
2009:362:00:01:52.651	 23.70077006	 11.55578292
2009:362:00:02:25.451	 23.68357190	 11.55474401
2009:362:00:02:58.251	 23.66675769	 11.55366866
2009:362:00:03:31.051	 23.65031756	 11.55255790
2009:362:00:04:03.851	 23.63424187	 11.55141274
2009:362:00:04:36.651	 23.61963887	 11.55031812
2009:362:00:05:09.451	 23.61676830	 11.55009209
2009:362:00:05:42.251	 23.60145543	 11.54887523
2009:362:00:06:15.051	 23.58648191	 11.54762665
2009:362:00:06:47.851	 23.57183881	 11.54634728
2009:362:00:07:20.651	 23.55751744	 11.54503802
2009:362:00:07:53.451	 23.54350934	 11.54369976
