Time	1PDEAAT Prediction (degC)	1PIN1AT Prediction
2008:363:21:36:43.692	 29.94000000	 16.31000000
2008:363:21:37:16.492	 29.93173897	 16.30446260
2008:363:21:37:49.292	 29.92354311	 16.29892785
2008:363:21:38:22.092	 29.91541092	 16.29339591
2008:363:21:38:54.892	 29.90734098	 16.28786689
2008:363:21:39:27.692	 29.89933186	 16.28234095
2008:363:21:40:00.492	 29.89138219	 16.27681821
2008:363:21:40:33.292	 29.88349064	 16.27129880
2008:363:21:41:06.092	 29.88099521	 16.26954914
2008:363:21:41:38.892	 29.87498868	 16.26532774
2008:363:21:42:11.692	 29.86721445	 16.25983597
2008:363:21:42:44.492	 29.85949611	 16.25434790
2008:363:21:43:17.292	 29.85183415	 16.24886376
2008:363:21:43:50.092	 29.84422431	 16.24338347
2008:363:21:44:22.892	 29.83666546	 16.23790713
2008:363:21:44:55.692	 29.82915648	 16.23243485
2008:363:21:45:28.492	 29.82505147	 16.22943309
2008:363:21:46:01.292	 29.82106199	 16.22654364
2008:363:21:46:34.092	 29.81365522	 16.22116102
2008:363:21:47:06.892	 29.80629695	 16.21578238
2008:363:21:47:39.692	 29.79898611	 16.21040783
2008:363:21:48:12.492	 29.79172168	 16.20503746
2008:363:21:48:45.292	 29.78450465	 16.19967156
2008:363:21:49:18.092	 29.77733344	 16.19431018
2008:363:21:49:50.892	 29.77176348	 16.19012846
2008:363:21:50:23.692	 29.76960021	 16.18854225
2008:363:21:50:56.492	 29.76252100	 16.18334086
2008:363:21:51:29.292	 29.75548676	 16.17814342
2008:363:21:52:02.092	 29.74849652	 16.17295001
2008:363:21:52:34.892	 29.74154934	 16.16776071
2008:363:21:53:07.692	 29.73464428	 16.16257562
2008:363:21:53:40.492	 29.72778045	 16.15739481
2008:363:21:54:13.292	 29.72095697	 16.15221837
2008:363:21:54:46.092	 29.72037758	 16.15178935
2008:363:21:55:18.892	 29.71360217	 16.14678930
2008:363:21:55:51.692	 29.70686927	 16.14179299
2008:363:21:56:24.492	 29.70017795	 16.13680049
2008:363:21:56:57.292	 29.69352732	 16.13181190
2008:363:21:57:30.092	 29.68691651	 16.12682730
2008:363:21:58:02.892	 29.68034467	 16.12184676
2008:363:21:58:35.692	 29.67381096	 16.11687035
2008:363:21:59:08.492	 29.67222017	 16.11565690
2008:363:21:59:41.292	 29.66676222	 16.11160936
2008:363:22:00:14.092	 29.66031072	 16.10680231
2008:363:22:00:46.892	 29.65390124	 16.10199911
2008:363:22:01:19.692	 29.64753021	 16.09719960
2008:363:22:01:52.492	 29.64119682	 16.09240387
2008:363:22:02:25.292	 29.63490026	 16.08761199
2008:363:22:02:58.092	 29.62863974	 16.08282402
2008:363:22:03:30.892	 29.62567094	 16.08054779
2008:363:22:04:03.692	 29.62188497	 16.07768533
2008:363:22:04:36.492	 29.61569925	 16.07299325
2008:363:22:05:09.292	 29.60954932	 16.06830488
2008:363:22:05:42.092	 29.60343442	 16.06362029
