Time	1PDEAAT Prediction (degC)	1PIN1AT Prediction
2008:307:12:34:60.000	 42.56000000	 30.24000000
2008:307:12:35:32.800	 42.53839630	 30.22318805
2008:307:12:36:05.600	 42.51690738	 30.20639116
2008:307:12:36:38.400	 42.49553087	 30.18960953
2008:307:12:37:11.200	 42.47426447	 30.17284336
2008:307:12:37:44.000	 42.45310592	 30.15609285
2008:307:12:38:16.800	 42.43205304	 30.13935821
2008:307:12:38:49.600	 42.42359666	 30.13262418
2008:307:12:39:22.400	 42.40932104	 30.12121399
2008:307:12:39:55.200	 42.38848278	 30.10451380
2008:307:12:40:28.000	 42.36774440	 30.08783013
2008:307:12:41:00.800	 42.34710389	 30.07116317
2008:307:12:41:33.600	 42.32655931	 30.05451306
2008:307:12:42:06.400	 42.30610875	 30.03787999
2008:307:12:42:39.200	 42.28575037	 30.02126409
2008:307:12:43:12.000	 42.26548235	 30.00466553
2008:307:12:43:44.800	 42.24530294	 29.98808445
2008:307:12:44:17.600	 42.22521043	 29.97152099
2008:307:12:44:50.400	 42.20520315	 29.95497529
2008:307:12:45:23.200	 42.18527949	 29.93844748
2008:307:12:45:56.000	 42.16543984	 29.92193814
2008:307:12:46:28.800	 42.14568068	 29.90544697
2008:307:12:47:01.600	 42.12600045	 29.88897407
2008:307:12:47:34.400	 42.10639767	 29.87251955
2008:307:12:48:07.200	 42.08687094	 29.85608353
2008:307:12:48:40.000	 42.06741886	 29.83966611
2008:307:12:49:12.800	 42.04804008	 29.82326741
2008:307:12:49:45.600	 42.02873331	 29.80688751
2008:307:12:50:18.400	 42.00949725	 29.79052652
2008:307:12:50:51.200	 41.99033066	 29.77418452
2008:307:12:51:24.000	 41.97123233	 29.75786162
2008:307:12:51:56.800	 41.95220108	 29.74155789
2008:307:12:52:29.600	 41.93323574	 29.72527343
2008:307:12:53:02.400	 41.91433521	 29.70900830
2008:307:12:53:35.200	 41.89549839	 29.69276260
2008:307:12:54:08.000	 41.88460535	 29.68335601
2008:307:12:54:40.800	 41.87622963	 29.67610886
2008:307:12:55:13.600	 41.85751843	 29.65990264
2008:307:12:55:46.400	 41.83886741	 29.64371594
2008:307:12:56:19.200	 41.82027561	 29.62754880
2008:307:12:56:52.000	 41.80174208	 29.61140130
2008:307:12:57:24.800	 41.79940365	 29.60936316
2008:307:12:57:57.600	 41.78746099	 29.59893829
2008:307:12:58:30.400	 41.76902896	 29.58282874
2008:307:12:59:03.200	 41.75065243	 29.56673885
2008:307:12:59:36.000	 41.73233586	 29.55067063
2008:307:13:00:08.800	 41.71407325	 29.53462228
2008:307:13:00:41.600	 41.69586353	 29.51859376
2008:307:13:01:14.400	 41.67770591	 29.50258510
2008:307:13:01:47.200	 41.65959964	 29.48659636
2008:307:13:02:20.000	 41.65397950	 29.48163051
2008:307:13:02:52.800	 41.63945338	 29.46874065
2008:307:13:03:25.600	 41.62145295	 29.45274816
2008:307:13:03:58.400	 41.60350388	 29.43677734
2008:307:13:04:31.200	 41.58560209	 29.42082680
2008:307:13:05:04.000	 41.56774693	 29.40489657
2008:307:13:05:36.800	 41.54993780	 29.38898667
2008:307:13:06:09.600	 41.53217408	 29.37309713
2008:307:13:06:42.400	 41.51445518	 29.35722799
2008:307:13:07:15.200	 41.51176008	 29.35481352
2008:307:13:07:48.000	 41.49473414	 29.33934148
2008:307:13:08:20.800	 41.47710460	 29.32330723
2008:307:13:08:53.600	 41.45951325	 29.30729434
2008:307:13:09:26.400	 41.44195969	 29.29130281
2008:307:13:09:59.200	 41.42444353	 29.27533264
