Time	1PDEAAT Prediction (degC)	1PIN1AT Prediction
2009:270:16:57:00.787	 28.73000000	 22.15000000
2009:270:16:57:33.587	 28.73774279	 22.15402090
2009:270:16:58:06.387	 28.74539764	 22.15804434
2009:270:16:58:39.187	 28.75296666	 22.16207011
2009:270:16:59:11.987	 28.76045190	 22.16609799
2009:270:16:59:44.787	 28.76278250	 22.16735787
2009:270:17:00:17.587	 28.74624537	 22.16882369
2009:270:17:00:50.387	 28.88374754	 22.17235819
2009:270:17:01:23.187	 28.96569597	 22.17459658
2009:270:17:01:55.987	 29.04376011	 22.17690299
2009:270:17:02:28.787	 29.20310394	 22.18223710
2009:270:17:03:01.587	 29.35879070	 22.18792519
2009:270:17:03:34.387	 29.51091463	 22.19395738
2009:270:17:04:07.187	 29.65956754	 22.20032405
2009:270:17:04:39.987	 29.80483889	 22.20701584
2009:270:17:05:12.787	 29.94681583	 22.21402362
2009:270:17:05:45.587	 30.08534420	 22.22136130
2009:270:17:06:18.387	 30.19388225	 22.22742443
2009:270:17:06:51.187	 30.23610449	 22.23043725
2009:270:17:07:23.987	 30.36812562	 22.24004660
2009:270:17:07:56.787	 30.49723879	 22.24992924
2009:270:17:08:29.587	 30.62351876	 22.26007737
2009:270:17:09:02.387	 30.74703837	 22.27048335
2009:270:17:09:35.187	 30.86784002	 22.28114242
2009:270:17:10:07.987	 30.98578555	 22.29206652
2009:270:17:10:40.787	 31.10119053	 22.30322549
2009:270:17:11:13.587	 31.17399587	 22.31046975
2009:270:17:11:46.387	 31.22705019	 22.31667863
2009:270:17:12:19.187	 31.33735729	 22.32984579
2009:270:17:12:51.987	 31.44535655	 22.34322150
2009:270:17:13:24.787	 31.55110707	 22.35679958
2009:270:17:13:57.587	 31.65454804	 22.37058460
2009:270:17:14:30.387	 31.75575654	 22.38456870
2009:270:17:15:03.187	 31.85489480	 22.39873657
2009:270:17:15:35.987	 31.91224637	 22.40710641
2009:270:17:16:08.787	 31.96322755	 22.41497703
2009:270:17:16:41.587	 32.05815639	 22.42988428
2009:270:17:17:14.387	 32.15115856	 22.44495940
2009:270:17:17:47.187	 32.24228449	 22.46019711
2009:270:17:18:19.987	 32.33158324	 22.47559232
2009:270:17:18:52.787	 32.41910260	 22.49114006
2009:270:17:19:25.587	 32.50488908	 22.50683547
2009:270:17:19:58.387	 32.58898792	 22.52267384
2009:270:17:20:31.187	 32.67144321	 22.53865061
