Time	1PDEAAT Prediction (degC)	1PIN1AT Prediction
2009:270:16:56:50.536	 33.02000000	 20.40000000
2009:270:16:57:23.336	 32.90121690	 20.42067257
2009:270:16:57:56.136	 32.78533093	 20.44092396
2009:270:16:58:28.936	 32.67227358	 20.46076401
2009:270:16:59:01.736	 32.56197793	 20.48020234
2009:270:16:59:34.536	 32.49970555	 20.49120620
2009:270:17:00:07.336	 32.45867930	 20.49628327
2009:270:17:00:40.136	 32.45990451	 20.50823287
2009:270:17:01:12.936	 32.48462196	 20.52377067
2009:270:17:01:45.736	 32.48997205	 20.52683828
2009:270:17:02:18.536	 32.52364543	 20.54618970
2009:270:17:02:51.336	 32.55702263	 20.56554865
2009:270:17:03:24.136	 32.59010986	 20.58491431
2009:270:17:03:56.936	 32.62291319	 20.60428584
2009:270:17:04:29.736	 32.65543855	 20.62366244
2009:270:17:05:02.536	 32.68769171	 20.64304334
2009:270:17:05:35.336	 32.71965838	 20.66242798
2009:270:17:06:08.136	 32.74501613	 20.67791394
2009:270:17:06:40.936	 32.75501443	 20.68463773
2009:270:17:07:13.736	 32.78646451	 20.70584106
2009:270:17:07:46.536	 32.81770250	 20.72703781
2009:270:17:08:19.336	 32.84873260	 20.74822744
2009:270:17:08:52.136	 32.87955891	 20.76940942
2009:270:17:09:24.936	 32.91018332	 20.79058311
2009:270:17:09:57.736	 32.94059410	 20.81174725
2009:270:17:10:30.536	 32.97081357	 20.83290210
2009:270:17:11:03.336	 32.99007955	 20.84644220
2009:270:17:11:36.136	 33.00432000	 20.85730466
2009:270:17:12:08.936	 33.03418333	 20.88013427
2009:270:17:12:41.736	 33.06390094	 20.90294597
2009:270:17:13:14.536	 33.09347546	 20.92573944
2009:270:17:13:47.336	 33.12290170	 20.94851332
2009:270:17:14:20.136	 33.15218348	 20.97126737
2009:270:17:14:52.936	 33.18133008	 20.99400223
2009:270:17:15:25.736	 33.19834243	 21.00730338
2009:270:17:15:58.536	 33.21373969	 21.01959896
2009:270:17:16:31.336	 33.24261604	 21.04269886
2009:270:17:17:04.136	 33.27137102	 21.06577667
2009:270:17:17:36.936	 33.30000671	 21.08883216
2009:270:17:18:09.736	 33.32852515	 21.11186509
2009:270:17:18:42.536	 33.35692831	 21.13487523
2009:270:17:19:15.336	 33.38521813	 21.15786236
2009:270:17:19:48.136	 33.41339651	 21.18082627
2009:270:17:20:20.936	 33.44146530	 21.20376675
2009:270:17:20:53.736	 33.46942629	 21.22668359
2009:270:17:21:26.536	 33.49728126	 21.24957660
2009:270:17:21:59.336	 33.52503191	 21.27244560
2009:270:17:22:32.136	 33.55267994	 21.29529039
2009:270:17:23:04.936	 33.58022699	 21.31811079
2009:270:17:23:37.736	 33.60767466	 21.34090664
2009:270:17:24:10.536	 33.63502452	 21.36367777
2009:270:17:24:43.336	 33.66227810	 21.38642400
2009:270:17:25:16.136	 33.68943689	 21.40914519
2009:270:17:25:48.936	 33.71650236	 21.43184117
2009:270:17:26:21.736	 33.74347593	 21.45451180
2009:270:17:26:54.536	 33.77035900	 21.47715694
2009:270:17:27:27.336	 33.79715292	 21.49977645
2009:270:17:28:00.136	 33.82385904	 21.52237019
2009:270:17:28:32.936	 33.85047864	 21.54493803
2009:270:17:29:05.736	 33.87701300	 21.56747984
2009:270:17:29:38.536	 33.90346337	 21.58999550
2009:270:17:30:11.336	 33.92983094	 21.61248490
2009:270:17:30:44.136	 33.95611690	 21.63494792
2009:270:17:31:16.936	 33.98232242	 21.65738444
2009:270:17:31:49.736	 34.00844862	 21.67979437
2009:270:17:32:22.536	 34.03449661	 21.70217759
2009:270:17:32:55.336	 34.06046746	 21.72453401
2009:270:17:33:28.136	 34.08636223	 21.74686353
2009:270:17:34:00.936	 34.11218196	 21.76916606
2009:270:17:34:33.736	 34.13792764	 21.79144150
2009:270:17:35:06.536	 34.16360026	 21.81368978
2009:270:17:35:39.336	 34.18920078	 21.83591081
2009:270:17:36:12.136	 34.21473015	 21.85810451
2009:270:17:36:44.936	 34.24018927	 21.88027080
2009:270:17:37:17.736	 34.26557906	 21.90240960
2009:270:17:37:50.536	 34.29090038	 21.92452085
2009:270:17:38:23.336	 34.31615409	 21.94660448
2009:270:17:38:56.136	 34.34134103	 21.96866042
2009:270:17:39:28.936	 34.36646202	 21.99068860
2009:270:17:40:01.736	 34.39151786	 22.01268898
2009:270:17:40:34.536	 34.41650933	 22.03466148
2009:270:17:41:07.336	 34.44143720	 22.05660605
2009:270:17:41:40.136	 34.46630221	 22.07852264
2009:270:17:42:12.936	 34.49110510	 22.10041120
2009:270:17:42:45.736	 34.51584657	 22.12227167
2009:270:17:43:18.536	 34.54052733	 22.14410402
2009:270:17:43:51.336	 34.56514807	 22.16590820
2009:270:17:44:24.136	 34.58970944	 22.18768416
2009:270:17:44:56.936	 34.61421210	 22.20943186
2009:270:17:45:29.736	 34.63865669	 22.23115127
2009:270:17:46:02.536	 34.66304383	 22.25284235
2009:270:17:46:35.336	 34.68737414	 22.27450507
2009:270:17:47:08.136	 34.71164821	 22.29613938
2009:270:17:47:40.936	 34.73586662	 22.31774527
2009:270:17:48:13.736	 34.76002994	 22.33932271
2009:270:17:48:46.536	 34.78413874	 22.36087165
2009:270:17:49:19.336	 34.80819355	 22.38239209
2009:270:17:49:52.136	 34.83219492	 22.40388399
2009:270:17:50:24.936	 34.85614336	 22.42534734
2009:270:17:50:57.736	 34.88003939	 22.44678211
2009:270:17:51:30.536	 34.90388350	 22.46818828
2009:270:17:52:03.336	 34.92767619	 22.48956584
2009:270:17:52:36.136	 34.95141792	 22.51091476
2009:270:17:53:08.936	 34.97510918	 22.53223504
2009:270:17:53:41.736	 34.99875041	 22.55352666
2009:270:17:54:14.536	 35.02234207	 22.57478961
2009:270:17:54:47.336	 35.04588459	 22.59602387
2009:270:17:55:20.136	 35.06937841	 22.61722944
2009:270:17:55:52.936	 35.09282393	 22.63840631
2009:270:17:56:25.736	 35.11622158	 22.65955447
2009:270:17:56:58.536	 35.13957176	 22.68067392
2009:270:17:57:31.336	 35.16287485	 22.70176464
2009:270:17:58:04.136	 35.18613124	 22.72282665
2009:270:17:58:36.936	 35.20934132	 22.74385992
2009:270:17:59:09.736	 35.23250544	 22.76486447
2009:270:17:59:42.536	 35.25562397	 22.78584029
2009:270:18:00:15.336	 35.27869727	 22.80678738
2009:270:18:00:48.136	 35.30172567	 22.82770575
2009:270:18:01:20.936	 35.32470953	 22.84859539
2009:270:18:01:53.736	 35.34764916	 22.86945631
2009:270:18:02:26.536	 35.37054490	 22.89028852
2009:270:18:02:59.336	 35.39339707	 22.91109201
2009:270:18:03:32.136	 35.41620597	 22.93186680
2009:270:18:04:04.936	 35.43897191	 22.95261289
2009:270:18:04:37.736	 35.46169519	 22.97333029
2009:270:18:05:10.536	 35.48437611	 22.99401900
2009:270:18:05:43.336	 35.50701494	 23.01467904
2009:270:18:06:16.136	 35.52961198	 23.03531042
2009:270:18:06:48.936	 35.55216750	 23.05591315
2009:270:18:07:21.736	 35.57468176	 23.07648723
2009:270:18:07:54.536	 35.59715503	 23.09703268
2009:270:18:08:27.336	 35.61958758	 23.11754952
2009:270:18:09:00.136	 35.64197965	 23.13803776
2009:270:18:09:32.936	 35.66433149	 23.15849740
2009:270:18:10:05.736	 35.68664336	 23.17892848
2009:270:18:10:38.536	 35.70891548	 23.19933099
2009:270:18:11:11.336	 35.73114809	 23.21970496
2009:270:18:11:44.136	 35.75334143	 23.24005041
2009:270:18:12:16.936	 35.77549571	 23.26036734
2009:270:18:12:49.736	 35.79761117	 23.28065579
2009:270:18:13:22.536	 35.81968801	 23.30091576
2009:270:18:13:55.336	 35.84172645	 23.32114728
2009:270:18:14:28.136	 35.86372670	 23.34135036
2009:270:18:15:00.936	 35.88568896	 23.36152503
2009:270:18:15:33.736	 35.90761344	 23.38167131
2009:270:18:16:06.536	 35.92950028	 23.40178917
2009:270:18:16:39.336	 35.95134961	 23.42187860
2009:270:18:17:12.136	 35.97316174	 23.44193969
2009:270:18:17:44.936	 35.99493686	 23.46197248
2009:270:18:18:17.736	 36.01667514	 23.48197698
2009:270:18:18:50.536	 36.03837677	 23.50195322
2009:270:18:19:23.336	 36.06004191	 23.52190122
2009:270:18:19:56.136	 36.08167075	 23.54182100
2009:270:18:20:28.936	 36.10326346	 23.56171259
2009:270:18:21:01.736	 36.12482019	 23.58157602
2009:270:18:21:34.536	 36.14634112	 23.60141130
2009:270:18:22:07.336	 36.16782640	 23.62121846
2009:270:18:22:40.136	 36.18927620	 23.64099753
2009:270:18:23:12.936	 36.21069067	 23.66074853
2009:270:18:23:45.736	 36.23206996	 23.68047149
2009:270:18:24:18.536	 36.25341422	 23.70016644
2009:270:18:24:51.336	 36.27472360	 23.71983340
2009:270:18:25:24.136	 36.29599824	 23.73947240
2009:270:18:25:56.936	 36.31723829	 23.75908347
2009:270:18:26:29.736	 36.33844389	 23.77866663
2009:270:18:27:02.536	 36.35961517	 23.79822192
2009:270:18:27:35.336	 36.38075226	 23.81774936
2009:270:18:28:08.136	 36.40185531	 23.83724897
2009:270:18:28:40.936	 36.42292445	 23.85672080
2009:270:18:29:13.736	 36.44395979	 23.87616486
2009:270:18:29:46.536	 36.46496147	 23.89558118
2009:270:18:30:19.336	 36.48592962	 23.91496980
2009:270:18:30:52.136	 36.50686435	 23.93433075
2009:270:18:31:24.936	 36.52776579	 23.95366405
2009:270:18:31:57.736	 36.54863405	 23.97296974
