ccd_count clocking datestart             datestop              dec                fep_count obsid pcad_mode pitch  power_cmd  q1                 q2                q3               q4               ra              roll          si_mode  simfa_pos simpos trans_keys                                       tstart       tstop        vid_board power 
6         0        2009:361:23:23:56.768 2009:361:23:26:56.768 10.0000000233      6         56560 NPNT      47.85  AA00000000 -0.385172158692    0.0835326473033   -0.404400534554  0.825302921227   311.999999986   314.424069823 TE_0021C -536      -99616 clocking,power_cmd                               378343502.95 378343682.95 1         118.00
6         0        2009:361:23:26:56.768 2009:361:23:27:05.768 10.0000000233      6         56560 NPNT      47.85  AA00000000 -0.385172158692    0.0835326473033   -0.404400534554  0.825302921227   311.999999986   314.424069823 TE_0021C -536      -99616 clocking,power_cmd                               378343682.95 378343691.95 1         118.00
6         0        2009:361:23:27:05.768 2009:361:23:30:00.000 10.0000000233      6         56560 NPNT      47.85  WSVIDALLDN -0.385172158692    0.0835326473033   -0.404400534554  0.825302921227   311.999999986   314.424069823 TE_0021C -536      -99616 power_cmd,vid_board                              378343691.95 378343866.18 0         96.60 
6         0        2009:361:23:30:00.000 2009:361:23:30:10.251 10.0000000233      6         56559 NMAN      47.85  WSVIDALLDN -0.385172158692    0.0835326473033   -0.404400534554  0.825302921227   311.999999986   314.424069823 TE_0021C -536      -99616 obsid,pcad_mode                                  378343866.18 378343876.44 0         96.60 
6         0        2009:361:23:30:10.251 2009:361:23:35:09.261 10.0000000233      6         56559 NMAN      47.82  WSVIDALLDN -0.385172158692    0.0835326473033   -0.404400534554  0.825302921227   311.999999986   314.424069823 TE_0021C -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    378343876.44 378344175.44 0         96.60 
6         0        2009:361:23:35:09.261 2009:361:23:40:08.272 7.52509492673      6         56559 NMAN      47.87  WSVIDALLDN -0.404212739408    0.105318986777    -0.377346130569  0.826516708361   314.351329398   311.048350181 TE_0021C -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    378344175.44 378344474.46 0         96.60 
6         0        2009:361:23:40:08.272 2009:361:23:45:07.282 -1.91776396637     6         56559 NMAN      48.02  WSVIDALLDN -0.46475623947     0.178879291035    -0.279901089087  0.820767455843   321.237865848   300.284241109 TE_0021C -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    378344474.46 378344773.47 0         96.60 
6         0        2009:361:23:45:07.282 2009:361:23:50:06.292 -17.1697849601     6         56559 NMAN      48.23  WSVIDALLDN -0.53599262699     0.277851525976    -0.132153568696  0.786158932237   328.046858049   286.478917633 TE_0021C -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    378344773.47 378345072.48 0         96.60 
6         0        2009:361:23:50:06.292 2009:361:23:55:05.302 -33.6302386243     6         56559 NMAN      48.47  WSVIDALLDN -0.587064454894    0.366597363963    0.0211695735488  0.721466247874   331.296998684   272.88609882  TE_0021C -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    378345072.48 378345371.49 0         96.60 
6         0        2009:361:23:55:05.302 2009:362:00:00:04.313 -50.2309542844     6         56559 NMAN      48.67  WSVIDALLDN -0.615660870587    0.441101312337    0.173130908626   0.629616559734   329.452592503   256.694865121 TE_0021C -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    378345371.49 378345670.50 0         96.60 
6         0        2009:362:00:00:04.313 2009:362:00:05:03.323 -61.1429026234     6         56559 NMAN      48.76  WSVIDALLDN -0.621825165953    0.483456953299    0.275949872314   0.550867047839   321.98593544    240.071123731 TE_0021C -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    378345670.50 378345969.51 0         96.60 
6         0        2009:362:00:05:03.323 2009:362:07:36:44.813 -63.9999998876     6         56559 NPNT      48.78  WSVIDALLDN -0.621447401363    0.494100376461    0.304923257602   0.526013071533   317.999999967   233.514475411 TE_0021C -536      -99616 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          378345969.51 378373071.00 0         96.60 
6         0        2009:362:07:36:44.813 2009:362:07:36:55.064 -63.9999998876     6         56558 NMAN      48.78  WSVIDALLDN -0.621447401363    0.494100376461    0.304923257602   0.526013071533   317.999999967   233.514475411 TE_0021C -536      -99616 obsid,pcad_mode                                  378373071.00 378373081.25 0         96.60 
6         0        2009:362:07:36:55.064 2009:362:07:41:32.201 -64.0000001375     6         56558 NMAN      48.65  WSVIDALLDN -0.621447402       0.494100377       0.304923258      0.526013072      317.999999953   233.51447539  TE_0021C -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    378373081.25 378373358.38 0         96.60 
6         0        2009:362:07:41:32.201 2009:362:07:46:09.338 -61.5948943982     6         56558 NMAN      48.53  WSVIDALLDN -0.62190254182     0.485068962132    0.280504939152   0.547048727951   321.453865141   239.125763571 TE_0021C -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    378373358.38 378373635.52 0         96.60 
6         0        2009:362:07:46:09.338 2009:362:07:50:46.476 -52.3674861947     6         56558 NMAN      48.32  WSVIDALLDN -0.618050506572    0.449437780713    0.193177118923   0.615387564472   328.636579807   254.033305008 TE_0021C -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    378373635.52 378373912.66 0         96.60 
6         0        2009:362:07:50:46.476 2009:362:07:55:23.613 -37.236133892      6         56558 NMAN      48.09  WSVIDALLDN -0.596018389099    0.383424264646    0.055145380454   0.703354036983   331.533311017   269.675850091 TE_0021C -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    378373912.66 378374189.80 0         96.60 
6         0        2009:362:07:55:23.613 2009:362:08:00:00.750 -22.061616274      6         56558 NMAN      47.94  WSVIDALLDN -0.555131790395    0.305281482549    -0.0846308302657 0.769070565983   329.590332756   282.289333605 TE_0021C -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    378374189.80 378374466.93 0         96.60 
6         0        2009:362:08:00:00.750 2009:362:08:04:37.887 -12.4704022072     6         56558 NMAN      47.88  WSVIDALLDN -0.518745582058    0.248720759993    -0.174968808211  0.799016221353   326.588907977   290.25817221  TE_0021C -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    378374466.93 378374744.07 0         96.60 
6         0        2009:362:08:04:37.887 2009:362:08:08:56.637 -9.80000005779     6         56558 NPNT      47.87  WSVIDALLDN -0.50697356658     0.231823500523    -0.200518419554  0.805622760355   325.500000079   292.58637732  TE_0021C -536      -99616 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          378374744.07 378375002.82 0         96.60 
6         0        2009:362:08:08:56.637 2009:362:08:09:00.637 -9.80000005779     6         56558 NPNT      47.87  AA00000000 -0.50697356658     0.231823500523    -0.200518419554  0.805622760355   325.500000079   292.58637732  TE_0021C -536      -99616 clocking,power_cmd                               378375002.82 378375006.82 0         96.60 
6         0        2009:362:08:09:00.637 2009:362:08:09:04.637 -9.80000005779     6         56558 NPNT      47.87  AA00000000 -0.50697356658     0.231823500523    -0.200518419554  0.805622760355   325.500000079   292.58637732  TE_0021C -536      -99616 clocking,power_cmd                               378375006.82 378375010.82 0         96.60 
0         0        2009:362:08:09:04.637 2009:362:08:09:28.637 -9.80000005779     0         56558 NPNT      47.87  WSPOW00000 -0.50697356658     0.231823500523    -0.200518419554  0.805622760355   325.500000079   292.58637732  TE_0021C -536      -99616 ccd_count,clocking,fep_count,power_cmd,vid_board 378375010.82 378375034.82 1         40.00 
