tstart	tstop	obsid	simpos	feps	ccds	vid	clk	power	pitch
2008:363:21:36:43.692	2008:363:21:41:13.692		-99616	5	5	1	0	112.30	71.63
2008:363:21:41:13.692	2008:363:21:45:43.692		-99616	5	5	1	0	112.30	71.01
2008:363:21:45:43.692	2008:363:21:50:13.692		-99616	5	5	1	0	112.30	68.53
2008:363:21:50:13.692	2008:363:21:54:43.692		-99616	5	5	1	0	112.30	63.87
2008:363:21:54:43.692	2008:363:21:59:13.692		-99616	5	5	1	0	112.30	58.49
2008:363:21:59:13.692	2008:363:22:03:43.692		-99616	5	5	1	0	112.30	53.31
2008:363:22:03:43.692	2008:363:22:07:43.144		-99616	5	5	1	0	112.30	50.42
2008:363:22:07:43.144	2008:363:22:12:12.889		-99616	5	5	1	0	112.30	49.79
2008:363:22:12:12.889	2008:363:22:12:23.140	10845	75624	5	5	1	0	112.30	49.79
2008:363:22:12:23.140	2008:363:22:17:03.140	10845	75624	5	5	1	0	112.30	49.79
2008:363:22:17:03.140	2008:363:22:17:03.489	10845	75624	5	5	1	0	112.30	53.69
2008:363:22:17:03.489	2008:363:22:17:07.489	10845	75624	5	5	1	0	112.30	53.69
2008:363:22:17:07.489	2008:363:22:17:11.489	10845	75624	5	5	1	0	112.30	53.69
2008:363:22:17:11.489	2008:363:22:17:35.489	10845	75624	0	0	1	0	40.00	53.69
2008:363:22:17:35.489	2008:363:22:18:42.489	10845	75624	6	6	1	0	118.00	53.69
2008:363:22:18:42.489	2008:363:22:21:43.140	10845	75624	6	6	1	1	129.00	53.69
2008:363:22:21:43.140	2008:363:22:26:23.140	10845	75624	6	6	1	1	129.00	67.29
2008:363:22:26:23.140	2008:363:22:31:03.140	10845	75624	6	6	1	1	129.00	87.91
2008:363:22:31:03.140	2008:363:22:35:43.140	10845	75624	6	6	1	1	129.00	108.86
2008:363:22:35:43.140	2008:363:22:40:23.140	10845	75624	6	6	1	1	129.00	129.10
2008:363:22:40:23.140	2008:363:22:44:28.207	10845	75624	6	6	1	1	129.00	141.48
2008:363:22:44:28.207	2008:364:01:04:28.207	10845	75624	6	6	1	1	129.00	144.38
2008:364:01:04:28.207	2008:364:03:24:28.207	10845	75624	6	6	1	1	129.00	144.41
2008:364:03:24:28.207	2008:364:05:44:28.207	10845	75624	6	6	1	1	129.00	144.43
2008:364:05:44:28.207	2008:364:08:04:28.207	10845	75624	6	6	1	1	129.00	144.46
2008:364:08:04:28.207	2008:364:09:55:27.952	10845	75624	6	6	1	1	129.00	144.49
2008:364:09:55:27.952	2008:364:09:55:38.203	10845	74032	6	6	1	0	118.00	144.49
2008:364:09:55:38.203	2008:364:09:58:27.952	10845	74032	6	6	1	0	118.00	144.51
2008:364:09:58:27.952	2008:364:10:00:08.203	10843	74032	6	6	1	0	118.00	144.51
2008:364:10:00:08.203	2008:364:10:03:18.552	10843	74032	6	6	1	0	118.00	140.95
2008:364:10:03:18.552	2008:364:10:03:22.552	10843	74032	6	6	1	0	118.00	140.95
2008:364:10:03:22.552	2008:364:10:03:26.552	10843	74032	6	6	1	0	118.00	140.95
2008:364:10:03:26.552	2008:364:10:03:50.552	10843	74032	0	0	1	0	40.00	140.95
2008:364:10:03:50.552	2008:364:10:04:38.203	10843	74032	6	6	1	0	118.00	140.95
2008:364:10:04:38.203	2008:364:10:04:57.552	10843	74032	6	6	1	0	118.00	128.45
2008:364:10:04:57.552	2008:364:10:09:08.203	10843	74032	6	6	1	1	129.00	128.45
2008:364:10:09:08.203	2008:364:10:13:38.203	10843	74032	6	6	1	1	129.00	108.90
2008:364:10:13:38.203	2008:364:10:18:08.203	10843	74032	6	6	1	1	129.00	88.82
2008:364:10:18:08.203	2008:364:10:22:38.203	10843	74032	6	6	1	1	129.00	70.48
2008:364:10:22:38.203	2008:364:10:25:52.891	10843	74032	6	6	1	1	129.00	60.49
2008:364:10:25:52.891	2008:364:12:45:52.891	10843	74032	6	6	1	1	129.00	58.80
2008:364:12:45:52.891	2008:364:15:05:52.891	10843	74032	6	6	1	1	129.00	58.85
2008:364:15:05:52.891	2008:364:17:25:52.891	10843	74032	6	6	1	1	129.00	58.90
2008:364:17:25:52.891	2008:364:19:45:52.891	10843	74032	6	6	1	1	129.00	58.95
2008:364:19:45:52.891	2008:364:22:05:52.891	10843	74032	6	6	1	1	129.00	59.00
2008:364:22:05:52.891	2008:365:00:25:52.891	10843	74032	6	6	1	1	129.00	59.05
2008:365:00:25:52.891	2008:365:02:36:52.636	10843	74032	6	6	1	1	129.00	59.10
2008:365:02:36:52.636	2008:365:02:37:02.887	10843	75624	6	6	1	0	118.00	59.10
2008:365:02:37:02.887	2008:365:02:39:52.636	10843	75624	6	6	1	0	118.00	59.15
2008:365:02:39:52.636	2008:365:02:39:56.636	10846	75624	6	6	1	0	118.00	59.15
2008:365:02:39:56.636	2008:365:02:40:00.636	10846	75624	6	6	1	0	118.00	59.15
2008:365:02:40:00.636	2008:365:02:40:24.636	10846	75624	0	0	1	0	40.00	59.15
2008:365:02:40:24.636	2008:365:02:41:31.636	10846	75624	6	6	1	0	118.00	59.15
2008:365:02:41:31.636	2008:365:02:41:42.887	10846	75624	6	6	1	1	129.00	59.15
2008:365:02:41:42.887	2008:365:02:46:22.887	10846	75624	6	6	1	1	129.00	62.44
2008:365:02:46:22.887	2008:365:02:51:02.887	10846	75624	6	6	1	1	129.00	74.28
2008:365:02:51:02.887	2008:365:02:55:42.887	10846	75624	6	6	1	1	129.00	92.86
2008:365:02:55:42.887	2008:365:03:00:22.887	10846	75624	6	6	1	1	129.00	112.05
2008:365:03:00:22.887	2008:365:03:05:02.887	10846	75624	6	6	1	1	129.00	130.65
2008:365:03:05:02.887	2008:365:03:09:24.889	10846	75624	6	6	1	1	129.00	142.09
2008:365:03:09:24.889	2008:365:05:29:24.889	10846	75624	6	6	1	1	129.00	144.96
2008:365:05:29:24.889	2008:365:07:49:24.889	10846	75624	6	6	1	1	129.00	144.93
2008:365:07:49:24.889	2008:365:10:09:24.889	10846	75624	6	6	1	1	129.00	144.90
2008:365:10:09:24.889	2008:365:12:29:24.889	10846	75624	6	6	1	1	129.00	144.87
2008:365:12:29:24.889	2008:365:14:15:18.864	10846	75624	6	6	1	1	129.00	144.84
2008:365:14:15:18.864	2008:365:14:30:18.864	10846	-99616	6	6	1	0	118.00	144.84
2008:365:14:30:18.864	2008:365:14:30:29.115	57418	-99616	6	6	1	0	118.00	144.84
2008:365:14:30:29.115	2008:365:14:33:18.864	57418	-99616	6	6	1	0	118.00	144.81
2008:365:14:33:18.864	2008:365:14:33:22.864	57418	-99616	6	6	1	0	118.00	144.81
2008:365:14:33:22.864	2008:365:14:33:26.864	57418	-99616	6	6	1	0	118.00	144.81
2008:365:14:33:26.864	2008:365:14:33:50.864	57418	-99616	0	0	1	0	40.00	144.81
2008:365:14:33:50.864	2008:365:14:34:19.115	57418	-99616	6	6	1	0	118.00	144.81
2008:365:14:34:19.115	2008:365:14:34:57.864	57418	-99616	6	6	1	0	118.00	146.10
2008:365:14:34:57.864	2008:365:14:38:09.115	57418	-99616	6	6	1	1	129.00	146.10
2008:365:14:38:09.115	2008:365:14:41:59.115	57418	-99616	6	6	1	1	129.00	150.71
2008:365:14:41:59.115	2008:365:14:45:19.326	57418	-99616	6	6	1	1	129.00	154.91
2008:365:14:45:19.326	2008:365:15:45:38.864	57418	-99616	6	6	1	1	129.00	155.84
2008:365:15:45:38.864	2008:365:15:48:38.864	57418	-99616	6	6	1	0	118.00	155.84
2008:365:15:48:38.864	2008:365:15:48:47.864	57418	-99616	6	6	1	0	118.00	155.84
2008:365:15:48:47.864	2008:365:17:05:01.735	57418	-99616	6	6	0	0	96.60	155.84
2008:365:17:05:01.735	2008:365:17:05:11.986	57417	-99616	6	6	0	0	96.60	155.84
2008:365:17:05:11.986	2008:365:17:10:11.986	57417	-99616	6	6	0	0	96.60	155.84
2008:365:17:10:11.986	2008:365:17:15:11.986	57417	-99616	6	6	0	0	96.60	155.83
2008:365:17:15:11.986	2008:365:17:20:11.986	57417	-99616	6	6	0	0	96.60	155.82
2008:365:17:20:11.986	2008:365:17:25:11.986	57417	-99616	6	6	0	0	96.60	155.80
2008:365:17:25:11.986	2008:365:17:30:11.986	57417	-99616	6	6	0	0	96.60	155.78
2008:365:17:30:11.986	2008:365:17:35:11.986	57417	-99616	6	6	0	0	96.60	155.77
2008:365:17:35:11.986	2008:365:17:40:11.986	57417	-99616	6	6	0	0	96.60	155.76
2008:365:17:40:11.986	2008:365:17:44:19.118	57417	-99616	6	6	0	0	96.60	155.76
2008:365:17:44:19.118	2008:365:18:48:38.864	57417	-99616	6	6	0	0	96.60	155.76
2008:365:18:48:38.864	2008:365:18:48:49.115	57416	-99616	6	6	0	0	96.60	155.76
2008:365:18:48:49.115	2008:365:18:53:49.115	57416	-99616	6	6	0	0	96.60	155.73
2008:365:18:53:49.115	2008:365:18:58:49.115	57416	-99616	6	6	0	0	96.60	155.73
2008:365:18:58:49.115	2008:365:19:03:49.115	57416	-99616	6	6	0	0	96.60	155.73
2008:365:19:03:49.115	2008:365:19:08:49.115	57416	-99616	6	6	0	0	96.60	155.75
2008:365:19:08:49.115	2008:365:19:13:49.115	57416	-99616	6	6	0	0	96.60	155.77
2008:365:19:13:49.115	2008:365:19:18:49.115	57416	-99616	6	6	0	0	96.60	155.80
2008:365:19:18:49.115	2008:365:19:23:49.115	57416	-99616	6	6	0	0	96.60	155.82
2008:365:19:23:49.115	2008:365:19:27:51.066	57416	-99616	6	6	0	0	96.60	155.83
2008:365:19:27:51.066	2008:365:20:32:10.812	57416	-99616	6	6	0	0	96.60	155.84
2008:365:20:32:10.812	2008:365:20:32:21.063	57415	-99616	6	6	0	0	96.60	155.84
2008:365:20:32:21.063	2008:365:20:37:21.063	57415	-99616	6	6	0	0	96.60	155.84
2008:365:20:37:21.063	2008:365:20:42:21.063	57415	-99616	6	6	0	0	96.60	155.83
2008:365:20:42:21.063	2008:365:20:47:21.063	57415	-99616	6	6	0	0	96.60	155.80
2008:365:20:47:21.063	2008:365:20:52:21.063	57415	-99616	6	6	0	0	96.60	155.76
2008:365:20:52:21.063	2008:365:20:57:21.063	57415	-99616	6	6	0	0	96.60	155.72
2008:365:20:57:21.063	2008:365:21:02:21.063	57415	-99616	6	6	0	0	96.60	155.68
2008:365:21:02:21.063	2008:365:21:07:21.063	57415	-99616	6	6	0	0	96.60	155.66
2008:365:21:07:21.063	2008:365:21:11:21.431	57415	-99616	6	6	0	0	96.60	155.65
2008:365:21:11:21.431	2008:365:23:26:21.431	57415	-99616	6	6	0	0	96.60	155.65
2008:365:23:26:21.431	2008:366:01:30:31.052	57415	-99616	6	6	0	0	96.60	155.57
2008:366:01:30:31.052	2008:366:01:30:41.303	57414	-99616	6	6	0	0	96.60	155.57
2008:366:01:30:41.303	2008:366:01:35:11.303	57414	-99616	6	6	0	0	96.60	155.50
2008:366:01:35:11.303	2008:366:01:39:41.303	57414	-99616	6	6	0	0	96.60	155.51
2008:366:01:39:41.303	2008:366:01:44:11.303	57414	-99616	6	6	0	0	96.60	155.55
2008:366:01:44:11.303	2008:366:01:48:41.303	57414	-99616	6	6	0	0	96.60	155.63
2008:366:01:48:41.303	2008:366:01:53:11.303	57414	-99616	6	6	0	0	96.60	155.70
2008:366:01:53:11.303	2008:366:01:57:41.303	57414	-99616	6	6	0	0	96.60	155.76
2008:366:01:57:41.303	2008:366:02:01:50.168	57414	-99616	6	6	0	0	96.60	155.79
2008:366:02:01:50.168	2008:366:02:06:09.913	57414	-99616	6	6	0	0	96.60	155.79
2008:366:02:06:09.913	2008:366:02:06:13.913	57414	-99616	6	6	0	0	96.60	155.79
2008:366:02:06:13.913	2008:366:02:06:17.913	57414	-99616	6	6	0	0	96.60	155.79
2008:366:02:06:17.913	2008:366:02:06:41.913	57414	-99616	0	0	1	0	40.00	155.79
2008:366:02:06:41.913	2008:366:02:07:44.913	57414	-99616	6	6	1	0	118.00	155.79
2008:366:02:07:44.913	2008:366:03:31:50.168	57414	-99616	6	6	1	1	129.00	155.79
2008:366:03:31:50.168	2008:366:04:49:49.913	57414	-99616	6	6	1	1	129.00	155.83
2008:366:04:49:49.913	2008:366:04:52:49.913	57414	-99616	6	6	1	0	118.00	155.83
2008:366:04:52:49.913	2008:366:04:53:00.164	10847	92904	6	6	1	0	118.00	155.83
2008:366:04:53:00.164	2008:366:04:57:40.513	10847	92904	6	6	1	0	118.00	155.86
2008:366:04:57:40.513	2008:366:04:57:44.513	10847	92904	6	6	1	0	118.00	155.86
2008:366:04:57:44.513	2008:366:04:57:48.513	10847	92904	6	6	1	0	118.00	155.86
2008:366:04:57:48.513	2008:366:04:58:00.164	10847	92904	0	0	1	0	40.00	155.86
