tstart	tstop	obsid	simpos	feps	ccds	vid	clk	power	pitch
2008:307:12:34:60.000	2008:307:12:39:00.005		-99616	6	6	0	0	96.60	165.02
2008:307:12:39:00.005	2008:307:12:54:26.141		-99616	6	6	0	0	96.60	165.02
2008:307:12:54:26.141	2008:307:12:57:26.141		-99616	6	6	0	0	96.60	165.02
2008:307:12:57:26.141	2008:307:12:57:36.392	57531	-99616	6	6	0	0	96.60	165.02
2008:307:12:57:36.392	2008:307:13:02:26.392	57531	-99616	6	6	0	0	96.60	165.04
2008:307:13:02:26.392	2008:307:13:07:16.392	57531	-99616	6	6	0	0	96.60	164.82
2008:307:13:07:16.392	2008:307:13:12:06.392	57531	-99616	6	6	0	0	96.60	163.86
2008:307:13:12:06.392	2008:307:13:16:56.392	57531	-99616	6	6	0	0	96.60	162.03
2008:307:13:16:56.392	2008:307:13:21:46.392	57531	-99616	6	6	0	0	96.60	160.01
2008:307:13:21:46.392	2008:307:13:26:36.392	57531	-99616	6	6	0	0	96.60	158.09
2008:307:13:26:36.392	2008:307:13:31:26.392	57531	-99616	6	6	0	0	96.60	156.55
2008:307:13:31:26.392	2008:307:13:35:16.836	57531	-99616	6	6	0	0	96.60	155.84
2008:307:13:35:16.836	2008:307:15:30:16.836	57531	-99616	6	6	0	0	96.60	155.71
2008:307:15:30:16.836	2008:307:17:25:16.836	57531	-99616	6	6	0	0	96.60	155.67
2008:307:17:25:16.836	2008:307:19:06:57.788	57531	-99616	6	6	0	0	96.60	155.63
2008:307:19:06:57.788	2008:307:19:07:08.039	57530	-99616	6	6	0	0	96.60	155.63
2008:307:19:07:08.039	2008:307:19:11:48.039	57530	-99616	6	6	0	0	96.60	155.60
2008:307:19:11:48.039	2008:307:19:16:28.039	57530	-99616	6	6	0	0	96.60	155.59
2008:307:19:16:28.039	2008:307:19:21:08.039	57530	-99616	6	6	0	0	96.60	155.59
2008:307:19:21:08.039	2008:307:19:25:48.039	57530	-99616	6	6	0	0	96.60	155.59
2008:307:19:25:48.039	2008:307:19:30:28.039	57530	-99616	6	6	0	0	96.60	155.61
2008:307:19:30:28.039	2008:307:19:35:08.039	57530	-99616	6	6	0	0	96.60	155.65
2008:307:19:35:08.039	2008:307:19:39:48.039	57530	-99616	6	6	0	0	96.60	155.70
2008:307:19:39:48.039	2008:307:19:44:28.039	57530	-99616	6	6	0	0	96.60	155.75
2008:307:19:44:28.039	2008:307:19:48:25.300	57530	-99616	6	6	0	0	96.60	155.78
2008:307:19:48:25.300	2008:307:21:48:25.300	57530	-99616	6	6	0	0	96.60	155.79
2008:307:21:48:25.300	2008:307:22:52:45.047	57530	-99616	6	6	0	0	96.60	155.77
2008:307:22:52:45.047	2008:307:22:52:49.047	57530	-99616	6	6	0	0	96.60	155.77
2008:307:22:52:49.047	2008:307:22:52:53.047	57530	-99616	6	6	0	0	96.60	155.77
2008:307:22:52:53.047	2008:307:22:53:17.047	57530	-99616	0	0	1	0	40.00	155.77
2008:307:22:53:17.047	2008:307:22:54:24.047	57530	-99616	6	6	1	0	118.00	155.77
2008:307:22:54:24.047	2008:307:23:48:25.300	57530	-99616	6	6	1	1	129.00	155.77
2008:307:23:48:25.300	2008:308:01:36:25.047	57530	-99616	6	6	1	1	129.00	155.75
2008:308:01:36:25.047	2008:308:01:39:25.047	57530	-99616	6	6	1	0	118.00	155.75
2008:308:01:39:25.047	2008:308:01:39:35.298	09634	-50504	6	6	1	0	118.00	155.75
