Time	1PDEAAT Prediction (degC)	1PIN1AT Prediction
2008:307:12:34:60.000	 38.13000000	 29.35000000
2008:307:12:35:32.800	 38.18672039	 29.32531835
2008:307:12:36:05.600	 38.24174991	 29.30090391
2008:307:12:36:38.400	 38.29512900	 29.27675085
2008:307:12:37:11.200	 38.34689715	 29.25285346
2008:307:12:37:44.000	 38.39709291	 29.22920617
2008:307:12:38:16.800	 38.44575393	 29.20580352
2008:307:12:38:49.600	 38.46506906	 29.19642606
2008:307:12:39:22.400	 38.49686564	 29.18067608
2008:307:12:39:55.200	 38.54242841	 29.15776987
2008:307:12:40:28.000	 38.58655855	 29.13509369
2008:307:12:41:00.800	 38.62929083	 29.11264250
2008:307:12:41:33.600	 38.67065919	 29.09041141
2008:307:12:42:06.400	 38.71069676	 29.06839560
2008:307:12:42:39.200	 38.74943588	 29.04659041
2008:307:12:43:12.000	 38.78690811	 29.02499126
2008:307:12:43:44.800	 38.82314425	 29.00359369
2008:307:12:44:17.600	 38.85817437	 28.98239334
2008:307:12:44:50.400	 38.89202783	 28.96138597
2008:307:12:45:23.200	 38.92473327	 28.94056742
2008:307:12:45:56.000	 38.95629170	 28.91993810
2008:307:12:46:28.800	 38.98675757	 28.89948959
2008:307:12:47:01.600	 39.01615861	 28.87921784
2008:307:12:47:34.400	 39.04452077	 28.85911909
2008:307:12:48:07.200	 39.07186938	 28.83918967
2008:307:12:48:40.000	 39.09822918	 28.81942599
2008:307:12:49:12.800	 39.12362430	 28.79982454
2008:307:12:49:45.600	 39.14807830	 28.78038191
2008:307:12:50:18.400	 39.17161419	 28.76109476
2008:307:12:50:51.200	 39.19425440	 28.74195983
2008:307:12:51:24.000	 39.21602085	 28.72297393
2008:307:12:51:56.800	 39.23693491	 28.70413396
2008:307:12:52:29.600	 39.25701747	 28.68543689
2008:307:12:53:02.400	 39.27628890	 28.66687976
2008:307:12:53:35.200	 39.29476908	 28.64845966
2008:307:12:54:08.000	 39.30521046	 28.63783280
2008:307:12:54:40.800	 39.31294260	 28.62969220
2008:307:12:55:13.600	 39.32988122	 28.61154073
2008:307:12:55:46.400	 39.34609052	 28.59351715
2008:307:12:56:19.200	 39.36158822	 28.57561887
2008:307:12:56:52.000	 39.37639161	 28.55784339
2008:307:12:57:24.800	 39.37824356	 28.55560224
2008:307:12:57:57.600	 39.38733310	 28.54419688
2008:307:12:58:30.400	 39.40094297	 28.52663745
2008:307:12:59:03.200	 39.41390861	 28.50919338
2008:307:12:59:36.000	 39.42618509	 28.49187332
2008:307:13:00:08.800	 39.43784754	 28.47466433
2008:307:13:00:41.600	 39.44891401	 28.45756367
2008:307:13:01:14.400	 39.45939887	 28.44056922
2008:307:13:01:47.200	 39.46931618	 28.42367894
2008:307:13:02:20.000	 39.47233112	 28.41844286
2008:307:13:02:52.800	 39.47974633	 28.40490120
2008:307:13:03:25.600	 39.48849474	 28.38816758
2008:307:13:03:58.400	 39.49668020	 28.37153907
2008:307:13:04:31.200	 39.50435354	 28.35500673
2008:307:13:05:04.000	 39.51152719	 28.33856874
2008:307:13:05:36.800	 39.51821329	 28.32222333
2008:307:13:06:09.600	 39.52442370	 28.30596875
2008:307:13:06:42.400	 39.53017000	 28.28980332
2008:307:13:07:15.200	 39.53102773	 28.28734625
2008:307:13:07:48.000	 39.53603547	 28.27160995
2008:307:13:08:20.800	 39.54078907	 28.25536664
2008:307:13:08:53.600	 39.54510934	 28.23920841
2008:307:13:09:26.400	 39.54900685	 28.22313370
2008:307:13:09:59.200	 39.55249197	 28.20714099
2008:307:13:10:32.000	 39.55557479	 28.19122880
2008:307:13:11:04.800	 39.55826519	 28.17539568
2008:307:13:11:37.600	 39.56055841	 28.15974007
2008:307:13:12:10.400	 39.56079443	 28.15776087
2008:307:13:12:43.200	 39.56264602	 28.14158026
2008:307:13:13:16.000	 39.56412547	 28.12547658
2008:307:13:13:48.800	 39.56524194	 28.10944848
2008:307:13:14:21.600	 39.56600440	 28.09349464
2008:307:13:14:54.400	 39.56642160	 28.07761376
2008:307:13:15:27.200	 39.56650211	 28.06180458
2008:307:13:15:60.000	 39.56624022	 28.04606891
2008:307:13:16:32.800	 39.56577757	 28.03298047
2008:307:13:17:05.600	 39.56554191	 28.02843609
2008:307:13:17:38.400	 39.56458970	 28.01227322
2008:307:13:18:11.200	 39.56332350	 27.99617963
2008:307:13:18:44.000	 39.56175115	 27.98015416
2008:307:13:19:16.800	 39.55988030	 27.96419566
2008:307:13:19:49.600	 39.55771842	 27.94830303
2008:307:13:20:22.400	 39.55525010	 27.93248042
2008:307:13:20:55.200	 39.55250036	 27.91672274
2008:307:13:21:28.000	 39.55051012	 27.90609148
2008:307:13:22:00.800	 39.54911182	 27.89897323
2008:307:13:22:33.600	 39.54579467	 27.88280003
2008:307:13:23:06.400	 39.54221207	 27.86668976
2008:307:13:23:39.200	 39.53837076	 27.85064143
2008:307:13:24:12.000	 39.53427321	 27.83465505
2008:307:13:24:44.800	 39.52990919	 27.81873379
2008:307:13:25:17.600	 39.52530681	 27.80287142
2008:307:13:25:50.400	 39.52047215	 27.78706703
2008:307:13:26:23.200	 39.51790027	 27.77889648
2008:307:13:26:56.000	 39.51481033	 27.76923450
2008:307:13:27:28.800	 39.50949621	 27.75310910
2008:307:13:28:01.600	 39.50395884	 27.73704102
2008:307:13:28:34.400	 39.49819232	 27.72103244
2008:307:13:29:07.200	 39.49220432	 27.70508209
2008:307:13:29:40.000	 39.48601087	 27.68918637
2008:307:13:30:12.800	 39.47961729	 27.67334450
2008:307:13:30:45.600	 39.47302878	 27.65755567
2008:307:13:31:18.400	 39.47063065	 27.65188746
2008:307:13:31:51.200	 39.46545706	 27.63984203
2008:307:13:32:24.000	 39.45847003	 27.62395698
2008:307:13:32:56.800	 39.45128008	 27.60812906
2008:307:13:33:29.600	 39.44391230	 27.59235189
2008:307:13:34:02.400	 39.43637137	 27.57662476
2008:307:13:34:35.200	 39.42866182	 27.56094698
2008:307:13:35:08.000	 39.42561622	 27.55482283
2008:307:13:35:40.800	 39.41981505	 27.54339247
2008:307:13:36:13.600	 39.41175693	 27.52778279
2008:307:13:36:46.400	 39.40354095	 27.51222123
2008:307:13:37:19.200	 39.39517143	 27.49670714
2008:307:13:37:52.000	 39.38665257	 27.48123985
2008:307:13:38:24.800	 39.37798848	 27.46581876
2008:307:13:38:57.600	 39.36918317	 27.45044324
2008:307:13:39:30.400	 39.36024055	 27.43511269
2008:307:13:40:03.200	 39.35116444	 27.41982652
2008:307:13:40:36.000	 39.34195856	 27.40458417
2008:307:13:41:08.800	 39.33262654	 27.38938506
2008:307:13:41:41.600	 39.32317194	 27.37422865
2008:307:13:42:14.400	 39.31359820	 27.35911441
2008:307:13:42:47.200	 39.30390872	 27.34404181
2008:307:13:43:20.000	 39.29410678	 27.32901034
2008:307:13:43:52.800	 39.28419559	 27.31401950
2008:307:13:44:25.600	 39.27417831	 27.29906879
2008:307:13:44:58.400	 39.26405798	 27.28415775
2008:307:13:45:31.200	 39.25383760	 27.26928589
2008:307:13:46:04.000	 39.24352008	 27.25445278
2008:307:13:46:36.800	 39.23310826	 27.23965795
2008:307:13:47:09.600	 39.22260493	 27.22490098
2008:307:13:47:42.400	 39.21201279	 27.21018143
2008:307:13:48:15.200	 39.20133448	 27.19549889
2008:307:13:48:48.000	 39.19057259	 27.18085295
2008:307:13:49:20.800	 39.17972962	 27.16624321
2008:307:13:49:53.600	 39.16880804	 27.15166928
2008:307:13:50:26.400	 39.15781023	 27.13713077
2008:307:13:50:59.200	 39.14673854	 27.12262732
2008:307:13:51:32.000	 39.13559525	 27.10815856
2008:307:13:52:04.800	 39.12438259	 27.09372413
2008:307:13:52:37.600	 39.11310271	 27.07932368
2008:307:13:53:10.400	 39.10175775	 27.06495688
2008:307:13:53:43.200	 39.09034977	 27.05062338
2008:307:13:54:16.000	 39.07888078	 27.03632286
2008:307:13:54:48.800	 39.06735276	 27.02205500
2008:307:13:55:21.600	 39.05576761	 27.00781948
2008:307:13:55:54.400	 39.04412723	 26.99361601
2008:307:13:56:27.200	 39.03243343	 26.97944428
2008:307:13:56:60.000	 39.02068799	 26.96530400
2008:307:13:57:32.800	 39.00889266	 26.95119488
2008:307:13:58:05.600	 38.99704913	 26.93711664
2008:307:13:58:38.400	 38.98515906	 26.92306901
2008:307:13:59:11.200	 38.97322406	 26.90905171
2008:307:13:59:44.000	 38.96124571	 26.89506450
2008:307:14:00:16.800	 38.94922554	 26.88110710
2008:307:14:00:49.600	 38.93716506	 26.86717926
2008:307:14:01:22.400	 38.92506573	 26.85328075
2008:307:14:01:55.200	 38.91292897	 26.83941131
2008:307:14:02:28.000	 38.90075618	 26.82557072
2008:307:14:03:00.800	 38.88854871	 26.81175873
2008:307:14:03:33.600	 38.87630789	 26.79797514
2008:307:14:04:06.400	 38.86403502	 26.78421970
2008:307:14:04:39.200	 38.85173135	 26.77049221
2008:307:14:05:12.000	 38.83939811	 26.75679245
2008:307:14:05:44.800	 38.82703650	 26.74312022
2008:307:14:06:17.600	 38.81464770	 26.72947531
2008:307:14:06:50.400	 38.80223283	 26.71585752
2008:307:14:07:23.200	 38.78979303	 26.70226666
2008:307:14:07:56.000	 38.77732936	 26.68870253
2008:307:14:08:28.800	 38.76484290	 26.67516494
2008:307:14:09:01.600	 38.75233467	 26.66165372
2008:307:14:09:34.400	 38.73980568	 26.64816869
2008:307:14:10:07.200	 38.72725692	 26.63470965
2008:307:14:10:40.000	 38.71468933	 26.62127646
2008:307:14:11:12.800	 38.70210387	 26.60786892
2008:307:14:11:45.600	 38.68950143	 26.59448688
2008:307:14:12:18.400	 38.67688291	 26.58113018
2008:307:14:12:51.200	 38.66424917	 26.56779865
2008:307:14:13:24.000	 38.65160106	 26.55449214
2008:307:14:13:56.800	 38.63893941	 26.54121049
2008:307:14:14:29.600	 38.62626501	 26.52795356
2008:307:14:15:02.400	 38.61357866	 26.51472120
2008:307:14:15:35.200	 38.60088111	 26.50151326
2008:307:14:16:08.000	 38.58817311	 26.48832960
2008:307:14:16:40.800	 38.57545539	 26.47517008
2008:307:14:17:13.600	 38.56272866	 26.46203456
2008:307:14:17:46.400	 38.54999361	 26.44892292
2008:307:14:18:19.200	 38.53725091	 26.43583502
2008:307:14:18:52.000	 38.52450121	 26.42277073
2008:307:14:19:24.800	 38.51174517	 26.40972992
2008:307:14:19:57.600	 38.49898340	 26.39671247
2008:307:14:20:30.400	 38.48621651	 26.38371827
2008:307:14:21:03.200	 38.47344510	 26.37074718
2008:307:14:21:36.000	 38.46066974	 26.35779909
2008:307:14:22:08.800	 38.44789100	 26.34487389
2008:307:14:22:41.600	 38.43510942	 26.33197147
2008:307:14:23:14.400	 38.42232555	 26.31909171
2008:307:14:23:47.200	 38.40953991	 26.30623450
2008:307:14:24:20.000	 38.39675300	 26.29339977
2008:307:14:24:52.800	 38.38396532	 26.28058741
2008:307:14:25:25.600	 38.37117736	 26.26779730
2008:307:14:25:58.400	 38.35838959	 26.25502932
2008:307:14:26:31.200	 38.34560247	 26.24228338
2008:307:14:27:04.000	 38.33281644	 26.22955938
2008:307:14:27:36.800	 38.32003194	 26.21685722
2008:307:14:28:09.600	 38.30724940	 26.20417681
2008:307:14:28:42.400	 38.29446923	 26.19151806
