ccd_count clocking datestart             datestop              dec              fep_count obsid pcad_mode pitch  power_cmd  q1                q2                q3                q4               ra             roll           si_mode  simfa_pos simpos trans_keys                                       tstart       tstop        vid_board power 
1         1        2009:270:06:19:10.787 2009:270:16:56:50.536 11.9486671441    1         10124 NPNT      51.83  XTZ0000005 -0.358100009659   0.521615219991    -0.716611446556   0.293513170079   234.2761331    281.758036566  TE_00274 -468      75624  dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          370419616.97 370457876.72 1         57.00 
1         1        2009:270:16:56:50.536 2009:270:16:57:00.787 11.9486671441    1         10124 NMAN      51.83  XTZ0000005 -0.358100009659   0.521615219991    -0.716611446556   0.293513170079   234.2761331    281.758036566  TE_00274 -468      92904  pcad_mode,simpos                                 370457876.72 370457886.97 1         57.00 
1         1        2009:270:16:57:00.787 2009:270:16:58:49.712 11.9486671441    1         10124 NMAN      51.28  XTZ0000005 -0.358100009659   0.521615219991    -0.716611446556   0.293513170079   234.2761331    281.758036566  TE_00274 -468      92904  dec,pitch,q1,q2,q3,q4,ra,roll                    370457886.97 370457995.90 1         57.00 
1         1        2009:270:16:58:49.712 2009:270:16:59:50.536 11.9486671441    1         10124 NMAN      51.28  XTZ0000005 -0.358100009659   0.521615219991    -0.716611446556   0.293513170079   234.2761331    281.758036566  TE_00274 -536      92904  simfa_pos                                        370457995.90 370458056.72 1         57.00 
1         0        2009:270:16:59:50.536 2009:270:16:59:54.536 11.9486671441    1         10450 NMAN      51.28  AA00000000 -0.358100009659   0.521615219991    -0.716611446556   0.293513170079   234.2761331    281.758036566  TE_00274 -536      92904  clocking,obsid,power_cmd                         370458056.72 370458060.72 1         58.30 
1         0        2009:270:16:59:54.536 2009:270:16:59:58.536 11.9486671441    1         10450 NMAN      51.28  AA00000000 -0.358100009659   0.521615219991    -0.716611446556   0.293513170079   234.2761331    281.758036566  TE_00274 -536      92904  clocking,power_cmd                               370458060.72 370458064.72 1         58.30 
0         0        2009:270:16:59:58.536 2009:270:17:00:22.536 11.9486671441    0         10450 NMAN      51.28  WSPOW00000 -0.358100009659   0.521615219991    -0.716611446556   0.293513170079   234.2761331    281.758036566  TE_00274 -536      92904  ccd_count,clocking,fep_count,power_cmd,vid_board 370458064.72 370458088.72 1         40.00 
5         0        2009:270:17:00:22.536 2009:270:17:01:25.536 11.9486671441    5         10450 NMAN      51.28  WSPOW04F3E -0.358100009659   0.521615219991    -0.716611446556   0.293513170079   234.2761331    281.758036566  TE_00274 -536      92904  ccd_count,clocking,fep_count,power_cmd,vid_board 370458088.72 370458151.72 1         112.30
5         0        2009:270:17:01:25.536 2009:270:17:01:29.536 11.9486671441    5         10450 NMAN      51.28  WSPOW04F3E -0.358100009659   0.521615219991    -0.716611446556   0.293513170079   234.2761331    281.758036566  TE_00458 -536      92904  si_mode                                          370458151.72 370458155.72 1         112.30
5         1        2009:270:17:01:29.536 2009:270:17:01:43.430 11.9486671441    5         10450 NMAN      51.28  XTZ0000005 -0.358100009659   0.521615219991    -0.716611446556   0.293513170079   234.2761331    281.758036566  TE_00458 -536      92904  clocking,power_cmd                               370458155.72 370458169.61 1         113.90
