Time	1PDEAAT Prediction (degC)	1PIN1AT Prediction
2008:363:21:36:43.692	 30.47000000	 16.57000000
2008:363:21:37:16.492	 30.45880402	 16.56380699
2008:363:21:37:49.292	 30.44771211	 16.55761091
2008:363:21:38:22.092	 30.43672205	 16.55141204
2008:363:21:38:54.892	 30.42583169	 16.54521068
2008:363:21:39:27.692	 30.41503891	 16.53900711
2008:363:21:40:00.492	 30.40434165	 16.53280163
2008:363:21:40:33.292	 30.39373789	 16.52659449
2008:363:21:41:06.092	 30.39038662	 16.52462619
2008:363:21:41:38.892	 30.38233128	 16.51993086
2008:363:21:42:11.692	 30.37191822	 16.51381828
2008:363:21:42:44.492	 30.36159669	 16.50770439
2008:363:21:43:17.292	 30.35136761	 16.50158941
2008:363:21:43:50.092	 30.34122414	 16.49547366
2008:363:21:44:22.892	 30.33116448	 16.48935739
2008:363:21:44:55.692	 30.32118689	 16.48324082
2008:363:21:45:28.492	 30.31573736	 16.47988412
2008:363:21:46:01.292	 30.31045022	 16.47681006
2008:363:21:46:34.092	 30.30064616	 16.47108024
2008:363:21:47:06.892	 30.29092693	 16.46534905
2008:363:21:47:39.692	 30.28129074	 16.45961671
2008:363:21:48:12.492	 30.27173587	 16.45388347
2008:363:21:48:45.292	 30.26226410	 16.44814953
2008:363:21:49:18.092	 30.25287273	 16.44241514
2008:363:21:49:50.892	 30.24559044	 16.43793936
2008:363:21:50:23.692	 30.24276895	 16.43641020
2008:363:21:50:56.492	 30.23354622	 16.43139340
2008:363:21:51:29.292	 30.22441102	 16.42637353
2008:363:21:52:02.092	 30.21536147	 16.42135086
2008:363:21:52:34.892	 30.20639574	 16.41632563
2008:363:21:53:07.692	 30.19751205	 16.41129809
2008:363:21:53:40.492	 30.18870866	 16.40626846
2008:363:21:54:13.292	 30.17998386	 16.40123699
2008:363:21:54:46.092	 30.17924541	 16.40086683
2008:363:21:55:18.892	 30.17061968	 16.39664580
2008:363:21:55:51.692	 30.16208556	 16.39241970
2008:363:21:56:24.492	 30.15364104	 16.38818882
2008:363:21:56:57.292	 30.14528419	 16.38395341
2008:363:21:57:30.092	 30.13701309	 16.37971374
2008:363:21:58:02.892	 30.12882588	 16.37547007
