Time	1PDEAAT Prediction (degC)	1PIN1AT Prediction
2009:270:16:57:00.787	 33.02000000	 20.40000000
2009:270:16:57:33.587	 32.90125907	 20.42067079
2009:270:16:58:06.387	 32.78538064	 20.44092543
2009:270:16:58:39.187	 32.67229833	 20.46077345
2009:270:16:59:11.987	 32.56194730	 20.48022417
2009:270:16:59:44.787	 32.52777177	 20.48625832
2009:270:17:00:17.587	 32.47157204	 20.49322027
2009:270:17:00:50.387	 32.49650956	 20.50929671
2009:270:17:01:23.187	 32.51150449	 20.51900256
2009:270:17:01:55.987	 32.52747690	 20.52821959
2009:270:17:02:28.787	 32.56039429	 20.54767336
2009:270:17:03:01.587	 32.59303324	 20.56713214
2009:270:17:03:34.387	 32.62539953	 20.58659513
2009:270:17:04:07.187	 32.65749882	 20.60606158
2009:270:17:04:39.987	 32.68933665	 20.62553075
2009:270:17:05:12.787	 32.72091842	 20.64500190
2009:270:17:05:45.587	 32.75223062	 20.66447438
2009:270:17:06:18.387	 32.77707601	 20.68002902
2009:270:17:06:51.187	 32.78687520	 20.68677884
2009:270:17:07:23.987	 32.81770301	 20.70806347
2009:270:17:07:56.787	 32.84833326	 20.72933944
2009:270:17:08:29.587	 32.87876982	 20.75060627
2009:270:17:09:02.387	 32.90901647	 20.77186347
2009:270:17:09:35.187	 32.93907488	 20.79311043
2009:270:17:10:07.987	 32.96893410	 20.81434578
2009:270:17:10:40.787	 32.99861486	 20.83557001
2009:270:17:11:13.587	 33.01754142	 20.84915374
2009:270:17:11:46.387	 33.03153500	 20.86004716
2009:270:17:12:19.187	 33.06088566	 20.88294096
2009:270:17:12:51.987	 33.09010253	 20.90581515
2009:270:17:13:24.787	 33.11918793	 20.92866945
2009:270:17:13:57.587	 33.14813710	 20.95150245
2009:270:17:14:30.387	 33.17695337	 20.97431398
2009:270:17:15:03.187	 33.20564526	 20.99710478
2009:270:17:15:35.987	 33.22241546	 21.01045415
2009:270:17:16:08.787	 33.23755699	 21.02275973
2009:270:17:16:41.587	 33.26600071	 21.04591218
2009:270:17:17:14.387	 33.29433322	 21.06904110
2009:270:17:17:47.187	 33.32255636	 21.09214628
2009:270:17:18:19.987	 33.35067191	 21.11522753
2009:270:17:18:52.787	 33.37868165	 21.13828464
2009:270:17:19:25.587	 33.40658727	 21.16131744
2009:270:17:19:58.387	 33.43439044	 21.18432575
2009:270:17:20:31.187	 33.46209281	 21.20730937
2009:270:17:21:03.987	 33.48969596	 21.23026814
2009:270:17:21:36.787	 33.51720145	 21.25320190
2009:270:17:22:09.587	 33.54461080	 21.27611048
2009:270:17:22:42.387	 33.57192551	 21.29899372
2009:270:17:23:15.187	 33.59914701	 21.32185148
2009:270:17:23:47.987	 33.62627674	 21.34468360
2009:270:17:24:20.787	 33.65331607	 21.36748995
2009:270:17:24:53.587	 33.68026636	 21.39027038
2009:270:17:25:26.387	 33.70712893	 21.41302476
2009:270:17:25:59.187	 33.73390508	 21.43575297
2009:270:17:26:31.987	 33.76059606	 21.45845488
2009:270:17:27:04.787	 33.78720312	 21.48113036
2009:270:17:27:37.587	 33.81372744	 21.50377930
2009:270:17:28:10.387	 33.84017022	 21.52640159
2009:270:17:28:43.187	 33.86653259	 21.54899712
2009:270:17:29:15.987	 33.89281569	 21.57156577
2009:270:17:29:48.787	 33.91902061	 21.59410746
2009:270:17:30:21.587	 33.94514843	 21.61662208
2009:270:17:30:54.387	 33.97120019	 21.63910953
2009:270:17:31:27.187	 33.99717692	 21.66156973
2009:270:17:31:59.987	 34.02307962	 21.68400259
2009:270:17:32:32.787	 34.04890926	 21.70640801
2009:270:17:33:05.587	 34.07466681	 21.72878592
2009:270:17:33:38.387	 34.10035319	 21.75113625
2009:270:17:34:11.187	 34.12596932	 21.77345890
2009:270:17:34:43.987	 34.15151610	 21.79575382
2009:270:17:35:16.787	 34.17699439	 21.81802092
2009:270:17:35:49.587	 34.20240504	 21.84026015
2009:270:17:36:22.387	 34.22774890	 21.86247143
2009:270:17:36:55.187	 34.25302676	 21.88465471
2009:270:17:37:27.987	 34.27823944	 21.90680993
2009:270:17:38:00.787	 34.30338770	 21.92893702
2009:270:17:38:33.587	 34.32847231	 21.95103593
2009:270:17:39:06.387	 34.35349401	 21.97310661
2009:270:17:39:39.187	 34.37845353	 21.99514901
2009:270:17:40:11.987	 34.40335158	 22.01716309
2009:270:17:40:44.787	 34.42818885	 22.03914879
2009:270:17:41:17.587	 34.45296602	 22.06110607
2009:270:17:41:50.387	 34.47768376	 22.08303489
2009:270:17:42:23.187	 34.50234271	 22.10493522
2009:270:17:42:55.987	 34.52694352	 22.12680700
2009:270:17:43:28.787	 34.55148679	 22.14865022
2009:270:17:44:01.587	 34.57597314	 22.17046483
2009:270:17:44:34.387	 34.60040316	 22.19225080
