Time	1PDEAAT Prediction (degC)	1PIN1AT Prediction
2008:363:21:36:33.441	 30.47000000	 16.57000000
2008:363:21:37:06.241	 30.45880402	 16.56380690
2008:363:21:37:39.041	 30.44771211	 16.55761072
2008:363:21:38:11.841	 30.43672204	 16.55141175
2008:363:21:38:44.641	 30.42583167	 16.54521030
2008:363:21:39:17.441	 30.41503888	 16.53900664
2008:363:21:39:50.241	 30.40434161	 16.53280106
2008:363:21:40:23.041	 30.39373785	 16.52659383
2008:363:21:40:55.841	 30.39038657	 16.52462550
2008:363:21:41:28.641	 30.38233122	 16.51993010
2008:363:21:42:01.441	 30.37191814	 16.51381743
2008:363:21:42:34.241	 30.36159660	 16.50770344
2008:363:21:43:07.041	 30.35136750	 16.50158836
2008:363:21:43:39.841	 30.34122400	 16.49547252
2008:363:21:44:12.641	 30.33116432	 16.48935616
2008:363:21:44:45.441	 30.32118671	 16.48323950
2008:363:21:45:18.241	 30.31573717	 16.47988275
2008:363:21:45:51.041	 30.31045002	 16.47680863
2008:363:21:46:23.841	 30.30064593	 16.47107873
2008:363:21:46:56.641	 30.29092667	 16.46534744
2008:363:21:47:29.441	 30.28129045	 16.45961502
2008:363:21:48:02.241	 30.27173555	 16.45388168
2008:363:21:48:35.041	 30.26226375	 16.44814765
2008:363:21:49:07.841	 30.25287234	 16.44241317
2008:363:21:49:40.641	 30.24559002	 16.43793733
2008:363:21:50:13.441	 30.24276853	 16.43640814
2008:363:21:50:46.241	 30.23354577	 16.43139127
2008:363:21:51:19.041	 30.22441053	 16.42637134
2008:363:21:51:51.841	 30.21536094	 16.42134860
2008:363:21:52:24.641	 30.20639518	 16.41632330
2008:363:21:52:57.441	 30.19751145	 16.41129569
2008:363:21:53:30.241	 30.18870802	 16.40626600
2008:363:21:54:03.041	 30.17998318	 16.40123446
2008:363:21:54:35.841	 30.17924473	 16.40086430
2008:363:21:55:08.641	 30.17061896	 16.39664325
2008:363:21:55:41.441	 30.16208479	 16.39241714
2008:363:21:56:14.241	 30.15364024	 16.38818623
2008:363:21:56:47.041	 30.14528335	 16.38395081
2008:363:21:57:19.841	 30.13701221	 16.37971112
