Time	1PDEAAT Prediction (degC)	1PIN1AT Prediction
2008:307:12:57:26.141	 38.13000000	 29.35000000
2008:307:12:57:58.941	 38.18670493	 29.32532525
2008:307:12:58:31.741	 38.24172992	 29.30091599
2008:307:12:59:04.541	 38.29511470	 29.27676649
2008:307:12:59:37.341	 38.34689812	 29.25287111
2008:307:13:00:10.141	 38.39711809	 29.22922439
2008:307:13:00:42.941	 38.44581166	 29.20582096
2008:307:13:01:15.741	 38.49301502	 29.18265560
2008:307:13:01:48.541	 38.53681490	 29.16070136
2008:307:13:02:21.341	 38.54385104	 29.15709094
2008:307:13:02:54.141	 38.58789133	 29.13437248
2008:307:13:03:26.941	 38.63055306	 29.11187604
2008:307:13:03:59.741	 38.67186895	 29.08959689
2008:307:13:04:32.541	 38.71187094	 29.06753039
2008:307:13:05:05.341	 38.75059024	 29.04567204
2008:307:13:05:38.141	 38.78805735	 29.02401741
2008:307:13:06:10.941	 38.82421080	 29.00257712
2008:307:13:06:43.741	 38.85228202	 28.98558311
2008:307:13:07:16.541	 38.86309242	 28.97880518
2008:307:13:07:49.341	 38.89674162	 28.95750195
2008:307:13:08:22.141	 38.92925570	 28.93638597
2008:307:13:08:54.941	 38.96066170	 28.91545332
2008:307:13:09:27.741	 38.99098603	 28.89470017
2008:307:13:10:00.541	 39.02024323	 28.87412465
2008:307:13:10:33.341	 39.04837675	 28.85373683
2008:307:13:11:06.141	 39.07550871	 28.83351688
2008:307:13:11:38.941	 39.09245265	 28.82064294
2008:307:13:12:11.741	 39.10462672	 28.81090001
2008:307:13:12:44.541	 39.12971829	 28.79050061
2008:307:13:13:17.341	 39.15386990	 28.77026105
2008:307:13:13:50.141	 39.17710404	 28.75017807
2008:307:13:14:22.941	 39.19939974	 28.73025585
2008:307:13:14:55.741	 39.22077660	 28.71049168
2008:307:13:15:28.541	 39.24130420	 28.69087416
2008:307:13:16:01.341	 39.26100289	 28.67140034
2008:307:13:16:34.141	 39.27028107	 28.66205629
2008:307:13:17:06.941	 39.28203757	 28.64946571
2008:307:13:17:39.741	 39.30004301	 28.62970518
2008:307:13:18:12.541	 39.31726787	 28.61008230
2008:307:13:18:45.341	 39.33366595	 28.59060591
2008:307:13:19:18.141	 39.34931151	 28.57126348
2008:307:13:19:50.941	 39.36423481	 28.55205021
2008:307:13:20:23.741	 39.37845325	 28.53296355
2008:307:13:20:56.541	 39.39198382	 28.51400103
2008:307:13:21:29.341	 39.39627001	 28.50788854
2008:307:13:22:02.141	 39.40630652	 28.49254417
2008:307:13:22:34.941	 39.41841470	 28.47328805
2008:307:13:23:07.741	 39.42982279	 28.45416081
2008:307:13:23:40.541	 39.44060068	 28.43515021
2008:307:13:24:13.341	 39.45076364	 28.41625402
2008:307:13:24:46.141	 39.46032656	 28.39747006
2008:307:13:25:18.941	 39.46930401	 28.37879621
2008:307:13:25:51.741	 39.47771020	 28.36023037
2008:307:13:26:24.541	 39.47907069	 28.35717824
2008:307:13:26:57.341	 39.48642180	 28.33921687
2008:307:13:27:30.141	 39.49360249	 28.32043960
2008:307:13:28:02.941	 39.50024744	 28.30176589
2008:307:13:28:35.741	 39.50636972	 28.28319380
2008:307:13:29:08.541	 39.51198209	 28.26472148
2008:307:13:29:41.341	 39.51709702	 28.24634709
2008:307:13:30:14.141	 39.52172667	 28.22806883
2008:307:13:30:46.941	 39.52588294	 28.20988496
2008:307:13:31:19.741	 39.52631312	 28.20776578
2008:307:13:31:52.541	 39.52991084	 28.18948628
2008:307:13:32:25.341	 39.53305766	 28.17129817
2008:307:13:32:58.141	 39.53576465	 28.15319981
2008:307:13:33:30.941	 39.53804260	 28.13518962
2008:307:13:34:03.741	 39.53990205	 28.11726603
2008:307:13:34:36.541	 39.54135332	 28.09942752
2008:307:13:35:09.341	 39.54149156	 28.09726350
2008:307:13:35:42.141	 39.54247346	 28.07948742
2008:307:13:36:14.941	 39.54306288	 28.06179452
2008:307:13:36:47.741	 39.54326979	 28.04418335
2008:307:13:37:20.541	 39.54310390	 28.02665246
2008:307:13:37:53.341	 39.54257470	 28.00920044
2008:307:13:38:26.141	 39.54169144	 27.99182593
2008:307:13:38:58.941	 39.54046317	 27.97452757
2008:307:13:39:31.741	 39.53889869	 27.95730407
2008:307:13:40:04.541	 39.53700663	 27.94015415
2008:307:13:40:37.341	 39.53479536	 27.92307655
2008:307:13:41:10.141	 39.53227311	 27.90607006
2008:307:13:41:42.941	 39.52944785	 27.88913348
2008:307:13:42:15.741	 39.52632740	 27.87226565
2008:307:13:42:48.541	 39.52291939	 27.85546544
2008:307:13:43:21.341	 39.51923124	 27.83873173
2008:307:13:43:54.141	 39.51527021	 27.82206345
2008:307:13:44:26.941	 39.51104340	 27.80545952
2008:307:13:44:59.741	 39.50655770	 27.78891893
2008:307:13:45:32.541	 39.50181987	 27.77244065
2008:307:13:46:05.341	 39.49683648	 27.75602371
2008:307:13:46:38.141	 39.49161397	 27.73966713
2008:307:13:47:10.941	 39.48615861	 27.72336998
2008:307:13:47:43.741	 39.48047651	 27.70713133
2008:307:13:48:16.541	 39.47457365	 27.69095029
2008:307:13:48:49.341	 39.46845585	 27.67482598
2008:307:13:49:22.141	 39.46212880	 27.65875755
2008:307:13:49:54.941	 39.45559805	 27.64274414
2008:307:13:50:27.741	 39.44886903	 27.62678495
2008:307:13:51:00.541	 39.44194701	 27.61087918
2008:307:13:51:33.341	 39.43483716	 27.59502604
2008:307:13:52:06.141	 39.42754450	 27.57922477
2008:307:13:52:38.941	 39.42007396	 27.56347463
2008:307:13:53:11.741	 39.41243033	 27.54777489
2008:307:13:53:44.541	 39.40461828	 27.53212483
2008:307:13:54:17.341	 39.39664238	 27.51652376
2008:307:13:54:50.141	 39.38850710	 27.50097100
2008:307:13:55:22.941	 39.38021677	 27.48546588
2008:307:13:55:55.741	 39.37177564	 27.47000777
2008:307:13:56:28.541	 39.36318785	 27.45459601
2008:307:13:57:01.341	 39.35445745	 27.43923000
2008:307:13:57:34.141	 39.34558837	 27.42390912
2008:307:13:58:06.941	 39.33658447	 27.40863279
2008:307:13:58:39.741	 39.32744949	 27.39340042
2008:307:13:59:12.541	 39.31818712	 27.37821146
2008:307:13:59:45.341	 39.30880091	 27.36306534
2008:307:14:00:18.141	 39.29929436	 27.34796154
2008:307:14:00:50.941	 39.28967088	 27.33289951
2008:307:14:01:23.741	 39.27993378	 27.31787875
2008:307:14:01:56.541	 39.27008632	 27.30289874
2008:307:14:02:29.341	 39.26013165	 27.28795901
2008:307:14:03:02.141	 39.25007286	 27.27305906
2008:307:14:03:34.941	 39.23991297	 27.25819843
2008:307:14:04:07.741	 39.22965491	 27.24337664
2008:307:14:04:40.541	 39.21930155	 27.22859327
2008:307:14:05:13.341	 39.20885569	 27.21384785
2008:307:14:05:46.141	 39.19832007	 27.19913997
2008:307:14:06:18.941	 39.18769735	 27.18446920
2008:307:14:06:51.741	 39.17699012	 27.16983513
2008:307:14:07:24.541	 39.16620094	 27.15523736
2008:307:14:07:57.341	 39.15533226	 27.14067549
2008:307:14:08:30.141	 39.14438651	 27.12614915
2008:307:14:09:02.941	 39.13336604	 27.11165795
2008:307:14:09:35.741	 39.12227316	 27.09720152
2008:307:14:10:08.541	 39.11111011	 27.08277951
2008:307:14:10:41.341	 39.09987908	 27.06839157
2008:307:14:11:14.141	 39.08858220	 27.05403734
2008:307:14:11:46.941	 39.07722156	 27.03971650
2008:307:14:12:19.741	 39.06579919	 27.02542872
2008:307:14:12:52.541	 39.05431708	 27.01117366
2008:307:14:13:25.341	 39.04277716	 26.99695102
2008:307:14:13:58.141	 39.03118132	 26.98276049
2008:307:14:14:30.941	 39.01953140	 26.96860177
2008:307:14:15:03.741	 39.00782921	 26.95447456
2008:307:14:15:36.541	 38.99607649	 26.94037857
2008:307:14:16:09.341	 38.98427497	 26.92631353
2008:307:14:16:42.141	 38.97242629	 26.91227915
2008:307:14:17:14.941	 38.96053210	 26.89827516
2008:307:14:17:47.741	 38.94859399	 26.88430130
2008:307:14:18:20.541	 38.93661350	 26.87035731
2008:307:14:18:53.341	 38.92459215	 26.85644293
2008:307:14:19:26.141	 38.91253141	 26.84255793
2008:307:14:19:58.941	 38.90043273	 26.82870204
2008:307:14:20:31.741	 38.88829749	 26.81487505
2008:307:14:21:04.541	 38.87612709	 26.80107671
2008:307:14:21:37.341	 38.86392284	 26.78730679
2008:307:14:22:10.141	 38.85168606	 26.77356508
2008:307:14:22:42.941	 38.83941802	 26.75985135
2008:307:14:23:15.741	 38.82711995	 26.74616540
2008:307:14:23:48.541	 38.81479306	 26.73250700
2008:307:14:24:21.341	 38.80243855	 26.71887596
2008:307:14:24:54.141	 38.79005755	 26.70527207
2008:307:14:25:26.941	 38.77765119	 26.69169514
2008:307:14:25:59.741	 38.76522056	 26.67814497
2008:307:14:26:32.541	 38.75276674	 26.66462138
2008:307:14:27:05.341	 38.74029076	 26.65112418
2008:307:14:27:38.141	 38.72779365	 26.63765319
2008:307:14:28:10.941	 38.71527638	 26.62420822
2008:307:14:28:43.741	 38.70273993	 26.61078912
2008:307:14:29:16.541	 38.69018525	 26.59739570
2008:307:14:29:49.341	 38.67761324	 26.58402780
2008:307:14:30:22.141	 38.66502481	 26.57068526
2008:307:14:30:54.941	 38.65242084	 26.55736791
2008:307:14:31:27.741	 38.63980217	 26.54407560
2008:307:14:32:00.541	 38.62716963	 26.53080817
2008:307:14:32:33.341	 38.61452404	 26.51756548
2008:307:14:33:06.141	 38.60186619	 26.50434736
2008:307:14:33:38.941	 38.58919684	 26.49115369
2008:307:14:34:11.741	 38.57651676	 26.47798430
2008:307:14:34:44.541	 38.56382667	 26.46483908
2008:307:14:35:17.341	 38.55112729	 26.45171787
2008:307:14:35:50.141	 38.53841931	 26.43862054
2008:307:14:36:22.941	 38.52570342	 26.42554696
2008:307:14:36:55.741	 38.51298028	 26.41249701
2008:307:14:37:28.541	 38.50025053	 26.39947055
2008:307:14:38:01.341	 38.48751480	 26.38646746
2008:307:14:38:34.141	 38.47477372	 26.37348761
2008:307:14:39:06.941	 38.46202787	 26.36053089
2008:307:14:39:39.741	 38.44927784	 26.34759718
2008:307:14:40:12.541	 38.43652420	 26.33468636
2008:307:14:40:45.341	 38.42376750	 26.32179832
2008:307:14:41:18.141	 38.41100829	 26.30893295
2008:307:14:41:50.941	 38.39824709	 26.29609014
2008:307:14:42:23.741	 38.38548442	 26.28326977
2008:307:14:42:56.541	 38.37272077	 26.27047175
2008:307:14:43:29.341	 38.35995663	 26.25769597
2008:307:14:44:02.141	 38.34719248	 26.24494233
2008:307:14:44:34.941	 38.33442879	 26.23221073
2008:307:14:45:07.741	 38.32166600	 26.21950107
2008:307:14:45:40.541	 38.30890455	 26.20681325
2008:307:14:46:13.341	 38.29614488	 26.19414717
2008:307:14:46:46.141	 38.28338740	 26.18150276
2008:307:14:47:18.941	 38.27063251	 26.16887990
2008:307:14:47:51.741	 38.25788062	 26.15627852
2008:307:14:48:24.541	 38.24513211	 26.14369852
2008:307:14:48:57.341	 38.23238736	 26.13113982
2008:307:14:49:30.141	 38.21964674	 26.11860232
2008:307:14:50:02.941	 38.20691060	 26.10608596
2008:307:14:50:35.741	 38.19417928	 26.09359063
2008:307:14:51:08.541	 38.18145314	 26.08111627
2008:307:14:51:41.341	 38.16873250	 26.06866278
2008:307:14:52:14.141	 38.15601768	 26.05623010
2008:307:14:52:46.941	 38.14330899	 26.04381814
2008:307:14:53:19.741	 38.13060674	 26.03142683
2008:307:14:53:52.541	 38.11791123	 26.01905609
