tstart	tstop	obsid	simpos	feps	ccds	vid	clk	power	pitch
2009:270:16:56:50.536	2009:270:16:59:50.536		92905	1	1	1	0	58.30	51.61
2009:270:16:59:50.536	2009:270:16:59:54.536	10450	92905	1	1	1	0	58.30	51.61
2009:270:16:59:54.536	2009:270:16:59:58.536	10450	92905	1	1	1	0	58.30	51.61
2009:270:16:59:58.536	2009:270:17:00:22.536	10450	92905	0	0	1	0	40.00	51.61
2009:270:17:00:22.536	2009:270:17:01:29.536	10450	92905	5	5	1	0	112.30	51.61
2009:270:17:01:29.536	2009:270:17:01:40.536	10450	92905	5	5	1	1	113.90	51.61
2009:270:17:01:40.536	2009:270:17:06:30.536	10450	92905	5	5	1	1	113.90	51.13
2009:270:17:06:30.536	2009:270:17:11:20.536	10450	92905	5	5	1	1	113.90	49.41
2009:270:17:11:20.536	2009:270:17:15:41.086	10450	92905	5	5	1	1	113.90	47.79
2009:270:17:15:41.086	2009:270:19:30:41.086	10450	92905	5	5	1	1	113.90	47.40
2009:270:19:30:41.086	2009:270:21:45:41.086	10450	92905	5	5	1	1	113.90	47.37
2009:270:21:45:41.086	2009:270:23:47:06.536	10450	92905	5	5	1	1	113.90	47.35
2009:270:23:47:06.536	2009:270:23:50:06.536	10450	75620	5	5	1	0	112.30	47.33
2009:270:23:50:06.536	2009:270:23:50:10.536	11579	75620	5	5	1	0	112.30	47.33
2009:270:23:50:10.536	2009:270:23:50:14.536	11579	75620	5	5	1	0	112.30	47.33
2009:270:23:50:14.536	2009:270:23:50:38.536	11579	75620	0	0	1	0	40.00	47.33
2009:270:23:50:38.536	2009:270:23:51:45.536	11579	75620	4	4	1	0	92.00	47.33
2009:270:23:51:45.536	2009:270:23:51:56.536	11579	75620	4	4	1	1	99.20	47.33
2009:270:23:51:56.536	2009:270:23:56:29.889	11579	75620	4	4	1	1	99.20	51.15
2009:270:23:56:29.889	2009:271:02:26:29.889	11579	75620	4	4	1	1	99.20	54.57
2009:271:02:26:29.889	2009:271:04:56:29.889	11579	75620	4	4	1	1	99.20	54.55
2009:271:04:56:29.889	2009:271:07:26:29.889	11579	75620	4	4	1	1	99.20	54.53
2009:271:07:26:29.889	2009:271:09:56:29.889	11579	75620	4	4	1	1	99.20	54.51
2009:271:09:56:29.889	2009:271:12:26:29.889	11579	75620	4	4	1	1	99.20	54.50
2009:271:12:26:29.889	2009:271:14:56:29.889	11579	75620	4	4	1	1	99.20	54.48
2009:271:14:56:29.889	2009:271:17:26:29.889	11579	75620	4	4	1	1	99.20	54.46
2009:271:17:26:29.889	2009:271:19:39:28.536	11579	75620	4	4	1	1	99.20	54.44
2009:271:19:39:28.536	2009:271:19:42:28.536	11579	75620	4	4	1	0	92.00	54.42
2009:271:19:42:28.536	2009:271:19:44:08.536	56804	75620	4	4	1	0	92.00	54.42
2009:271:19:44:08.536	2009:271:19:48:48.536	56804	75620	4	4	1	0	92.00	58.04
2009:271:19:48:48.536	2009:271:19:53:28.536	56804	75620	4	4	1	0	92.00	70.80
2009:271:19:53:28.536	2009:271:19:58:08.536	56804	75620	4	4	1	0	92.00	90.40
2009:271:19:58:08.536	2009:271:20:02:48.536	56804	75620	4	4	1	0	92.00	110.37
2009:271:20:02:48.536	2009:271:20:07:28.536	56804	75620	4	4	1	0	92.00	129.20
2009:271:20:07:28.536	2009:271:20:11:16.413	56804	75620	4	4	1	0	92.00	139.99
2009:271:20:11:16.413	2009:271:20:15:56.409	56804	75620	4	4	1	0	92.00	142.18
2009:271:20:15:56.409	2009:271:20:18:56.409	11351	75620	4	4	1	0	92.00	142.18
2009:271:20:18:56.409	2009:271:20:19:00.409	11351	75620	4	4	1	0	92.00	142.18
2009:271:20:19:00.409	2009:271:20:19:04.409	11351	75620	4	4	1	0	92.00	142.18
2009:271:20:19:04.409	2009:271:20:19:28.409	11351	75620	0	0	1	0	40.00	142.18
2009:271:20:19:28.409	2009:271:20:20:26.409	11351	75620	6	6	1	0	118.00	142.18
2009:271:20:20:26.409	2009:271:20:20:35.409	11351	75620	6	6	1	0	118.00	142.40
2009:271:20:20:35.409	2009:271:20:24:56.409	11351	75620	6	6	1	1	129.00	142.40
2009:271:20:24:56.409	2009:271:20:29:26.409	11351	75620	6	6	1	1	129.00	143.23
2009:271:20:29:26.409	2009:271:20:33:56.409	11351	75620	6	6	1	1	129.00	144.73
2009:271:20:33:56.409	2009:271:20:38:26.409	11351	75620	6	6	1	1	129.00	146.35
2009:271:20:38:26.409	2009:271:20:42:56.409	11351	75620	6	6	1	1	129.00	147.78
2009:271:20:42:56.409	2009:271:20:46:33.057	11351	75620	6	6	1	1	129.00	148.49
2009:271:20:46:33.057	2009:271:22:54:22.281	11351	75620	6	6	1	1	129.00	148.62
2009:271:22:54:22.281	2009:271:22:55:58.715	11351	-99612	6	6	1	0	118.00	148.62
